Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayannyaa ramah, cepat, dan yang terpenting enggak ribet setiap kita mau transaksi.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanannya ramah, tempatnya nyaman, parkirnya juga mudah",2
Bank Mandiri KCP Jakarta Mangga Besar,1,"sangat tidak rekomendasi sekali , sangat kecewa",0
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,pekerjaan sangat rahmah dan baik,2
Bank Mandiri KCP Jakarta Mangga Besar,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayananya mantap,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"layanan memuaskan. ramah nyaman, tempat bersih.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,kantor yang bersih dan wangi sangat memuaskan,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"ramah , bagus punyaa pembuatan rekening",2
Bank Mandiri KCP Jakarta Mangga Besar,5,cabangnya modern ya beda kayak cabang cabang lain.. pegawai semuanya ok..,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan nya oke, rapi bersih",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"bagus pelayanannya, ramah.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,very good service with informatif teller. pelayanan memuaskan dan cepat.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,teler nya ramah proses.y cepat,2
Bank Mandiri KCP Jakarta Mangga Besar,5,canggih benar pelayanan oke,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"teller ramah, pelayanan cepat, sudah digital semua keren",2
Bank Mandiri KCP Jakarta Mangga Besar,5,buka rekening dan internet banking dilayani dengan cepat. dipandu juga sampai paham. senang bertransaksi di cabang ini.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"cabangnya bagus, bersih, nyaman. stafnya baik dan helpful.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"nyaman dilayani dengan staff di cabang ini, solutif dan ramah.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"saya dari 2010 bertransaksi di cabang ini, benar-benar nyaman dan pegawainya sangat ramah. kantornya juga bagus dan modern, enggak perlu nulis2 slip lagi. sukses terus ya buat bank mandiri",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan cepat dan ramah, cabangnya wangi dan sudah digital semua jadi enggak perlu nulis2 slip lagi",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"saya hampir tiap hari transaksi disini, pelayanannya cepat, ruang tunggu nya nyaman dan pegawainya ramah, sukses selalu",2
Bank Mandiri KCP Jakarta Mangga Besar,5,terbaik untuk satpamnya the best pelayanannya sangat membantu,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan baik dan ramah, dari mulai masuk sampai selesai transaksi.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,mantullah pokoke layananana,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,cabangnya bersih dan sudah digital,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan cepet, cabangnya bersih dan dingin",2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayanannya sangat cepat sudah serba digital jadi lebih mudah bertransaksi dicabang ini enggak perlu menunggu lama juga keren deh,2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,baik dalam pelayanan,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,stafnya ramah dan membantu,2
Bank Mandiri KCP Jakarta Mangga Besar,5,pelayanannya oke banget,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,banking hall bersih dan pelayanan ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"sangat bagus dan modern, pelayanannya juga sangat ramah",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"cabang nya bagus dan modern, pelayanannya cepat dan ramah",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"cabangnya nyaman, stafnya baik dan helpful.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"cepat, handal, pelayan yang baik",2
Bank Mandiri KCP Jakarta Mangga Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"peayanan cepet, pegawai dan staf rama ramah",2
Bank Mandiri KCP Jakarta Mangga Besar,5,teller nya cepat & ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"tempatnya bersih dan nyaman, antrian tidak lama, pelayanan cepat tanggap, pegawai ramah.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanannya cepat, rapih, dan ramah",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"kantornya bersih wangi, pelayanannya cepat, dan staffnya ramah2",2
Bank Mandiri KCP Jakarta Mangga Besar,5,bagus dan pelayanannya ramah,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan cepat dan ruangan bersih, cabang smart branch terbaik",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayanan bank yang baik dan ramah, ruangannya juga bersih..",2
Bank Mandiri KCP Jakarta Mangga Besar,5,pegawainya ramah sekali,2
Bank Mandiri KCP Jakarta Mangga Besar,5,keren,2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pelayananya cepat, staffnya baik juga ramah, keadaan cabangnya bersih",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"pegawainya sangat membantu, diarahkan transaksi secara digital tanpa harus tulis slip lagi. menunggu pun nyaman karena bisa duduk di sofa yang tersedia.",2
Bank Mandiri KCP Jakarta Mangga Besar,5,"kantor bersih,rapi,wangi, pegawai ramah, pelayanan prima dan sangat memuaskan.",2
