Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan yang bagus!,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan cepat dan ramah,,dan memuaskan",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,oke baik dan rama,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanannya baik, mbak lois ineke",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,cukup memuaskan,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,bagus dan cekatan,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan ramah. mantap,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan nya sangat baik dan muasakan,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan nya sangat baik, ramah, senyum.",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan nya sangat bagus dan memuaskan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,cs nya mantap cepat gercep lah,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,security dan cs ramah dan baik,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan ramah baik,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"tellernya baik, ramah, cepat",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,tempat dan pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanannya oke stafnya ramah ramah,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"terima kasih mas aba fernandes, beberapa waktu lalu saya kredit disini dengan agunan sertifikat. setelah saya kembangkan uangnya, usaha saya semakin besar omzetnya dan pelanggannya. sekali lagi, makasi",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,untuk pinjaman kur bisa diproses cepat dan mudah,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pengajuan pinjaman untuk usaha saya dibantu sangat cepat dan mudah, terima kasih bank mandiri..",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"""terima kasih bank mandiri atas semua layanan dan dukungan yang telah diberikan.""",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan ramah dan cepat,kantor nya wangi dan bersih .good deh pokok nya",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pokoknya mantap .,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan baik,fast respon juga pic nya.keren",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan oke, cs dan teller ramah, baik dan sangat membantu",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"bersih nyaman, pelayannannya ramah banget",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan dan informasi yang diberikan sangat baik dan detail. staffnya ramah banget suka dan tempatnya bersih dan nyaman, bintang 5 deh pokoknya!",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,bank mandirj terdekat dari rumah,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan cepat dan bersih,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,1,sangat kecewa untuk pengajuan kur nya. slow respon,0
Bank Mandiri KCP Jakarta Mangga Besar Raya,1,pegawai bagian kur nya enggak beres sepertinya harus pakai calo baru di respon pengajuan kurnya. kalau jalan sendiri langsung ke sana di kasih nomor wa pegawai bagian kur nya tapi enggak di balas nelpon enggak di angkat.,0
Bank Mandiri KCP Jakarta Mangga Besar Raya,1,kecewa dengan petugas bagian kur nya kurang respon kepada custumer. wa tidak di balas telpon enggak di angkat,0
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,layanan cepat dan ramah petugasnya,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"saya datang ke bank mandiri mangga besar raya pelayanannya ramah dan cepat, terima kasih mbak cs sudah bantu saya. top..",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan nya mantap ramah2 orang nya,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,tempat nya strategis dan nyaman pegawai nya ramah ramah dan pelayanan nya sangat cepat,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan oke, cs dan teller ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanannya ramah, baik, luar biasa bersih, wangi",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan bagus, staf ramah",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanannya bagus, karyawan dan security membantu melayani dengan baik",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,karyawan dan scurtynya baik baik lanjutkan,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan oke, cs dan teller nya ramah",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,layanannya cepat dan ramah2 pegawai di cabangnya,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"service oke top sekali pokoknya , semoga service nya selalu istiqomah. amin",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanannya the best, pegawai nya ramah, tempatnya rapih, bersih dan nyaman",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"tempatnya rapi n bersih, nyaman, pegawainya ramah dan wangi",2
Bank Mandiri KCP Jakarta Mangga Besar Raya,5,"pelayanan bagus, pegawai ramah, bank nya juga bersih",2
