Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,"pelayanannya cepat, mantap!",2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,aman,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,lokasi strategis dan pegawai nya ramah2,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,pelayanan bagus ramah,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,"lokasinya strategis dekat pusat transportasi, dekat pasar swalayan, tempatnya nyaman adem dan pelayanannya sangat ramah",2
Bank Mandiri KCP Jakarta Mangga Dua,5,pelayanannya bagus .,2
Bank Mandiri KCP Jakarta Mangga Dua,5,nice,2
Bank Mandiri KCP Jakarta Mangga Dua,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua,5,good pelayanan nya,2
Bank Mandiri KCP Jakarta Mangga Dua,5,sangat puas dengan pelayanan yang diberikan.,2
