Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan bagus, teller dan satpam ramah",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya cepat dan sangat membantu,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan terbaik dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanannya baik, cepat dan ramah trimakasih kak evi bantuannya. top dan mantap untuk cs mandiri mds",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,terima kasih mbak clara,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"mantab pelayanannya, ramah dan sangat membantu.",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayananya bagus baik,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan yang baik dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat rekomended pelayanan yang cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya super cepat dan tepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,bagus sekali pelayanannya,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya sangat cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya ramah sekali,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"telernya ramah, cepat, cantik",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya cepat dan ok,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan memuaskan dan pengerjaan nya cepat, trimakasih",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan yang diberikan ke nasabahnya yang cepat sigap, stafnya komunikatif, ramah sekali dan informasi yang diberikan sangat pas serta sangat membantu bgt. pokoknya harus buka tabungan rekening disini yaw.",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan yang sangat memuaskan,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan baik, penjelasan baik, ramah dan sopan",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya cepat dan memuaskan serta informatif,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan ok, teller cepat",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan ramah proses cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan bagus dan pegawainya sangat membantu,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,memuaska,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,bagus banget servisnya cepat sama mbak shania dan super ramah! hehehe sangat membantu saya,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayanan nya ramah banget mantap, informatif banget",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan nya ramah mantap,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,ramah sekali,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanannya ok dan cepat,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"petugasnya ramah ramah sekali, pelayanan nya oke banget",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,mantap pelayanan nya,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan nya oke banget,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pembukaan rekening gampang banget, security ramah, kebetulan dekat juga sama kantor. kebantu banget transaksi disini.",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,ramah ramah,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,pelayanan friendly cepat n nyaman,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,petatsunya ramah2,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,"pelayan yang baik, staf yang ramah.",2
Bank Mandiri KCP Jakarta Mangga Dua Square,5,sangat puas dengan pelayanan yang diberikan.,2
