Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Margasatwa,5,terbaik,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,1,waktu akan mengaktifkan mobile banking mandiri tidak bisa dan cs sama sekali tidak memberikan solusi,0
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,terbaik,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Margasatwa,5,terbaik margasatwa,2
Bank Mandiri KCP Jakarta Margasatwa,5,sangat puas dengan pelayanan yang diberikan.,2
