Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Matraman,1,"palayanan untuk scurity sangat baik, tapi untuk di cs nya sangat lama, sudah tau banyak yang antri malah di tinggal sisa mbak weni dan itu memakan waktu yang tidak sedikit, tolong di perbaiki lagi dong. kalo selagi masih banyak antrian, prioritasin anttian dulu jangan malah ngerjain yang lain yang bikin lama nunggu. kasihan konsumen.",0
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat baik,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,2,kurang puas security nya menyampaikan tidak tuntas dan lebih menyambut head branch yang datang,0
Bank Mandiri KCP Jakarta Matraman,5,bagus tellernya,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan baik dan customer service ramah,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan nya sopan. baik dan ramah. dan oenjelasan nya mudah di mengerti,2
Bank Mandiri KCP Jakarta Matraman,5,"josjis pelayanan sangat cepat, cs dan staff lainx ramah ramah. well",2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanannya cepat, staffnya juga ramah-ramah.",2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanan oke, tempatnya bersih, sangat mengutamakan customer.",2
Bank Mandiri KCP Jakarta Matraman,5,"staffnya sangat ramah dan membantu, good job",2
Bank Mandiri KCP Jakarta Matraman,5,staffnya ramah dan pelayananannya baik dan jelas. terima kasih,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan selalu baik! ramah smua!,2
Bank Mandiri KCP Jakarta Matraman,5,"layanan yang sangat baik, staf nya pun juga sangat ramah",2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan cepatt dan ramah,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan ramah dan membantu,2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanannya cepat, membantu, dan sangat ramah..",2
Bank Mandiri KCP Jakarta Matraman,5,layanan ramah dan helpfull.. terima kasih,2
Bank Mandiri KCP Jakarta Matraman,1,"terkhusus customer servic atas nama mbak monic di kcp matraman, yang menjanjikan saya perbaikan mbanking paling telat satu minggu, tapi sudah sebulan tidak ada perubahan di",0
Bank Mandiri KCP Jakarta Matraman,5,keep itu up,2
Bank Mandiri KCP Jakarta Matraman,1,"tolong itu karyawannya bagian marketing ksm atau peminjaman dana atas nama yanti agar di breafing untuk bekerja lebih prepare dan profesional lagi, dia nyuruh proses peminjaman padahal di awal saya sudah tanyakan bisa atau enggak tapi di",0
Bank Mandiri KCP Jakarta Matraman,5,"bagus banget pelayanannya, keramahannya sangat bagus dan juga semua transaksi dilakukan dengan sangat minim kesalahan",2
Bank Mandiri KCP Jakarta Matraman,5,pelayanannya bagus dan ramah,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Matraman,5,"pegawai nya ramah ramah,gercep dan tanggap,terbaik",2
Bank Mandiri KCP Jakarta Matraman,5,"pelanyanan sangat baik dan mumpuni, semua masala beres.",2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,layanan besar,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,"ruangan bersih, pelayanan cs ramah teller juga ramah, security ya ganteng-ganteng dan baik hati.",2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Matraman,1,"baru-baru ini saya mengunjungi kcp bank mandiri matraman, dan saya sangat kecewa dengan pengalaman ini.",0
Bank Mandiri KCP Jakarta Matraman,1,tidak nyaman. tidak ramah. sangat tidak rekomendasi mandiri di cabang ini,0
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanan nya baik,mbak nya ramah dan sabar banget,ruangan nya nyaman buat menunggu antrian",2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan nya bagus dan terbaik,2
Bank Mandiri KCP Jakarta Matraman,5,"kerjasama yang baik menentukan masa depan yang baik, salut dengan semuanya dari atasan sampai tukang parkir berkontribusi dengan baik",2
Bank Mandiri KCP Jakarta Matraman,1,saya selalu dipersulit ketika ingin mengganti kartu,0
Bank Mandiri KCP Jakarta Matraman,1,"habis ganti atm jadi livin enggak bisa malah di suruh ke service center hp, mengaco di luar nalar",0
Bank Mandiri KCP Jakarta Matraman,1,"mau ganti nomer telepon untuk keperluan m-banking. nomer telepon yang lama hilang terus ganti hp baru juga, bilangnya harus proses lewat pusat harus menunggu -+3 hari, tapi sudah mau sebulan enggak ada progres juga. cuma ganti data nomer telepon sekelas bumn begini banget ya service nya? kalah sama bca",0
Bank Mandiri KCP Jakarta Matraman,1,pelayanan nya lelet parah,0
Bank Mandiri KCP Jakarta Matraman,2,"- ac panas - counter yang dibuka hanya 2 untuk cs, sedangkan ada loket lainnya yang kosong atau tidak ada shift dan antrian cukup panjang",0
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,1,"tolong stok kartu mandiri e-money,,tiap mau beli stok kosong terus",0
Bank Mandiri KCP Jakarta Matraman,1,lelet pelayanannya,0
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanan ramah, cepat & sangat informatif.",2
Bank Mandiri KCP Jakarta Matraman,5,mau mengucapkan terimakasih untuk bank mandiri kcp jakarta matraman pelayanan cpat bagus dan pegawai nya ramah2,2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanan bagus, ramah, tempat bersih",2
Bank Mandiri KCP Jakarta Matraman,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Matraman,5,"pelayanannya baik, frontlinernya ramah, bapak sekuritinya cepat tanggap, cabangnya nyaman, toiletnya bersih, parkirannya cukup luas.",2
Bank Mandiri KCP Jakarta Matraman,5,sangat puas dengan pelayanan yang diberikan.,2
