Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mayapada Tower,5,pramubakti nya tampan,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,pelayanan baik cs ramah dan sangat solutif sambutan dari satpam hangat dan ramah,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"mantab pelayanan, teller cepat, rama, polling",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"teller nya ramah, pelayanan nya cepat",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,cabang sangat nyaman dan pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"baik layanan, helpingl.",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,pelayanannya sangat membantu dan ramah sekali dari security cs dan tellernya,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,pelayanan yang sangat cepat dan tanggap dalam memberikan solusi. terima kasih,2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"pelayanan cepat, dan bisa mengasih solusi ke masalah saya terima kasih",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"tempat nya bagus ,pelayanan nya baik dan ramah dan nyaman",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"tempatnya nyaman, staff nya baik dan helpfull",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"pelayanan bagus cs nya ramah, kemarin dilayani dengan baik bu monic csnya",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,"frontlinernya ramah2, servicenya bagus",2
Bank Mandiri KCP Jakarta Mayapada Tower,5,sangat puas dengan pelayanan yang diberikan.,2
