Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mayestik,5,amazing,2
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan pegawainya ramah dan memuaskan,2
Bank Mandiri KCP Jakarta Mayestik,5,"pak edy sungguh bisa bikin pelanggan, puas!",2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan cepat ramah,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,1,tolong kepala cabang agar cukup saya yang di kecewakan tanggal 5 juni 2025,0
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,"pelayanannya baik. cabang nya bersih, ac dingin, ebanking lengkap.",2
Bank Mandiri KCP Jakarta Mayestik,5,mantap pelayanan cs nya cepat security nya ramah tempatnya bersih dan wangi good job,2
Bank Mandiri KCP Jakarta Mayestik,5,top buat mbak ranti penjelasan nya dapat di mengerti. trimakasih mbak ran,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,1,seriusan mau ke cs saja antri nya gila .yang sudah balik makan siang bukannya langsung melayani tapi masih santai enggak langsung melayani..kecewa pelayanan nya,0
Bank Mandiri KCP Jakarta Mayestik,1,sikap buruk,0
Bank Mandiri KCP Jakarta Mayestik,1,"rmnya sangat tidak membantu, kalau mau buka rekening di kejar habis2an. giliran mau tutup rekening rmnya pura-pura tidak lihat wa",0
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,1,"memang brengsek. enggak di update alamat terbaru nya.. katanya di dalam pasar, entah dimana posisi nya tak ada yang tahu",0
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan nya bagus mantap,2
Bank Mandiri KCP Jakarta Mayestik,5,"pelayanan teller terbaik terutama mbak hika, mas rama dan mbak nisrina",2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,pendukung perbankan.,2
Bank Mandiri KCP Jakarta Mayestik,4,"salah satu bank bumn yang mugaramakan pelayan karenan staf itu yang ramah, murah senyum, sangat membantu kami sebagai nasabah untuk brudaksi.",2
Bank Mandiri KCP Jakarta Mayestik,5,"salah satu bank bumn yang semakin baik pelayanannya, dari awal buka tabungan mandiri jadi pilihanku.. semoga terus bisa semakin lebih baik terus dalam pelayanan, fasilitasnya juga",2
Bank Mandiri KCP Jakarta Mayestik,5,"pelayanannya baik, cepat & ramah lagi..",2
Bank Mandiri KCP Jakarta Mayestik,5,"pelayanan nya cepat, staff ramah. good job",2
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan ramah dan cekatan,2
Bank Mandiri KCP Jakarta Mayestik,5,layanan yang baik. terima kasih,2
Bank Mandiri KCP Jakarta Mayestik,5,"tempatnya adem, parkirnya gampang, staffnya helpful banget",2
Bank Mandiri KCP Jakarta Mayestik,5,"salah satu bank bumn yang sangat concern terhadap kepuasan nasabah, terlihat dari bagaimana cara menanggapi pertanyaan, keluhan, ataupun ketika mau pembukaan akun baru. dengan stafnya yang ramah membuat bank mandiri semakin terdepan di jajaran bank bumn lainnya.. terbaik",2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Mayestik,5,good,2
Bank Mandiri KCP Jakarta Mayestik,5,petugasnya duduk solutif,2
Bank Mandiri KCP Jakarta Mayestik,5,pelayanan bqgus banget,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,1,hati-hati gaes yang punya tabungan di @mandiricare @bank_indonesia @bankmandiri sudah 10 hari kerja + 15 hari kerja belum ada kejelasan dan penjelasan dari @mandiricare mohon bantu up pak @msaid_didu dana saya hampir 5 juta kesedot begitu saja padahal saya enggak pernah transaksi dengan no. kartu atm.. tidak ada penyelesaian sama sekali,0
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,oke.,2
Bank Mandiri KCP Jakarta Mayestik,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mayestik,5,kok saldo di mandiri saya 0 ya padahal ada saldo dan di tfanfer tetap 0,2
