Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanannya mantap,ruangannya adem",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan ok,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan oke,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayananya satpamcepat tanggap dan cs nya ramah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan oke dan cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layan ok mantap,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembuatan rekening cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc cepat .jos,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc cepat ..cocok,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembuatan rekening mudah serta cs ramah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan cs dan keamanan ramah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,fast respon smart jelas terbaik,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan besar,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan cs ramah, security baik",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"buka rekening gaji mumah, mantap",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,oke.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,buka rekening cepat dibantu security yang ramah ramah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,lapan okk,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"buka rekening dibantu security, pelayanannya ramah",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembukaan rekening cepat dan pelayanan ok,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan mantap,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,aktivasi livin dibantu securitynya ramah.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembukaan rekening tabungan online sangat mudah dan cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap lapan,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan bagus dan cepat langsung dikerjain,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan ok,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc semua satpam,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan nyaman,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oc semua,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"untuk mbak nisa & mbak rani, terima kasih atas layanannya. setoran tunai dan penukaran uang terasa mudah dan cepat.",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan ok .. pokmen solid,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oke,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,untuk pelayanan layanan pelanggan nya cepaat dan sangat membantu plus ramah banget pooknyaa merekomendasikan untuk cs nya.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"strategi, ramah",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap pelayanannan nya terutama bapak satpam atas nama bapak joko,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan oke,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanan bagus,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,teller mbak rani dan mbak nisa nya baik sangat membantu.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,buka rekening untuk penggajian cepat dan tepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembukaan rekening payroll,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"mantap pelayanan cepet, pegawai bank nya ramah .",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembukaan rekening payroll cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,layanannya oke,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pembukaan rekening cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan nya baik,ramah dan cepat",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"okey. pelayanan mantap ,cepat dan mudah.",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan mantap, ramah dan tepat waktu",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan sangat ramah dan top,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"bagus pelayanan, masalah saya selalu dibantu",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,oke layanan cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,ok,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,oc cepat,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"tempatnya nyaman, bersih, semua karyawannya ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan nya ramah banget , cepat juga nanganin nasabah , pokoknya joss deh di cabang ini , menyala kcp jakarta mediternia tanjung duren",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan ramah dan solutif,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,good,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"layanan oke, cepat dan bagus",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap sangat membantu,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan ok ramah keamanan,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,tempat nyaman ..pelayanan oc ..satpam ramah ..teller oc ..cs cepat ramah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,pelayanan sangat baik dan memuaskan,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanannya oke, securitynya ramah",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanannya oke, pegawainya juga ramah",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"dibantu oleh cs bu sinta wulandari, sangat puas karena ybs sabar dan very helpful atas masalah saya. terima kasih bu sinta.",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,baik menangani pelanggan keramahan mereka membuat hari saya masalah terpecahkan terima kasih,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,dekat dari rumah,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan nya sangat baik, apalagi salah satu tellernya mas fajar.. jempol banget deh",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"pelayanan nya bagus,good buat fajar",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"teller fajar baik sama ramah banget, terima kasih pelayanannya",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,good,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,"baik,nyaman,ramah",2
Bank Mandiri KCP Jakarta Mediterania Tanjung Duren,5,mantap,2
