Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,1,"bilangnya offline mulu, secara enggak lngsg nolak nsb ya?",0
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,tempatnya bersih dan strategis,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis, bersih dan nyaman",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempat bersih, strategis, nyaman dan pegaiwainya ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis, nyaman dan bersih. pegawai juga ramah. terima kasih mandiri",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya nyaman, bersih dan karyawannya ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis, nyaman, bersih dan karyawannya ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis dan nyaman, juga karyawannya ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis, nyaman, pelayanan nya bagus sekali, semua karyawannya frendly",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya strategis, nyaman dan karyawannya ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,tempatnya bersih dan penyambutannya sangat ramah,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanannya bagus dan pegawai nya ramah sekali,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,layanan bagus dan tempat strategis,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanannya bagus dan tempatnya strategis,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempatnya bersih, nyaman dan pelayanannya cepat",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"salah satu pilihan cbang bank mandiri yang good service , semua staff membantu dan ramah. top.. keep going",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"pelayanan baik, cepat dalam pelayanan, ramah",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,tempatnya bersih sejuk dan nyaman,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,1,"mengecewakan, lama nunggunya.",0
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,mantap,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sgknya cekatan,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayan sangat ramah,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,kinerja bagus,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan nya bagus & cepat,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,teller ramah sekali,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan baik dan ramah trimakasih,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan prima,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,alhamdulillah sudah di bantu,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,1,lama banget playanan nya bukanya layani customer dulu malah curhat,0
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,cabangnya nyaman dan pegawainya ramah-ramah,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,2,"kurang puas, masih perlu perbaikan layanan.",0
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan ramah baik tempatnya nyaman,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,salah satu cab.bank mandiri yang strategis,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,pelayananya baik. mantap pokok e jos!,2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,"tempat nya dekat , pelayanan nya sangat memuaskan. terus teller nya baik, ramah ,ganteng dan cantik .pokonya top deh",2
Bank Mandiri KCP Jakarta Mega Grosir Cempaka Mas,5,kru semunyanyaya bikin syanman.,2
