Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat membantu dan ramah,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"cabang mandiri disini punya service yang keren banget selalu ramah selalu mendahulukan nasabah, terbantu banget kalo ada urusan administrasi bank",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"pelayanan bagus, dijelaskan detail waktu ingin pengajuan kredit usaha, sama marketing nya",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"saya sangat puas transaksi di cabang ini,, scuritynya ramah"",,cs dan teller sangat tanggap terhadap nasabah",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,csnya ramah baik cepat melayaninya,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"pelayanannya cepat, cso baik dan ramahh""",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"security ramah, sopan & mengarahkan dengan baik",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,securit6,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,"security nya melakukan servis dan edukasi ke saya sebagai nasabah sangat baik dan sopan, tempat nya juga strategis karena di lingkungan mall",2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mega Mal Pluit,5,fa axa nya melayani dengan baik & pegawainya lainnya ramah2,2
