Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Melawai,5,cs nya the best terima kasih,2
Bank Mandiri KCP Jakarta Melawai,5,cabang bersih dan nyaman,2
Bank Mandiri KCP Jakarta Melawai,5,nice pelayanannya,2
Bank Mandiri KCP Jakarta Melawai,5,"capang mandiri terbaki di kawasan blok m, kantor bersih, cs dan teller bernyanyi ramah",2
Bank Mandiri KCP Jakarta Melawai,5,pengalaman bagus,2
Bank Mandiri KCP Jakarta Melawai,5,bagus banget dia satset apalagi kalo yang jaga kak alhan sama kak oviailaeo bunchh,2
Bank Mandiri KCP Jakarta Melawai,5,pelayanan yang terbaik.,2
Bank Mandiri KCP Jakarta Melawai,5,keren pelayanannya,2
Bank Mandiri KCP Jakarta Melawai,5,"security nya ramah banget, terimakasih sudah membantu (memandu) saya bertransaksi di bank mandiri melawai",2
Bank Mandiri KCP Jakarta Melawai,5,mbak ovia cangtikk baik gemmes mas rio usil,2
Bank Mandiri KCP Jakarta Melawai,5,keren dan mantaf,2
Bank Mandiri KCP Jakarta Melawai,5,bagus layanan dan cabangnya,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,1,apakah dihari sabtu melayani nasabah,0
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,"bertransaksi di cabang mandiri melawai sangat menyenangkan, customer service nya ramah dan teller nya baik baik kak ovia dan kak alhan terimakasih mandiri cabang melawai service nya terbaik",2
Bank Mandiri KCP Jakarta Melawai,5,sangat amat baik,2
Bank Mandiri KCP Jakarta Melawai,5,oke,2
Bank Mandiri KCP Jakarta Melawai,5,"bank mandiri cabang melawai keren pelayanannya mulai dari security,teller,cs dan semua karyawan nya sangat ramah, tolong di pertahankan",2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat ramah,2
Bank Mandiri KCP Jakarta Melawai,5,"taller nya baik, seru, asik lucu",2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,bank yang selalu menjadi tempat saya melakukan transaksi.,2
Bank Mandiri KCP Jakarta Melawai,5,"fast respon banget deh aku ganti kartu exp, ramah juga cs nya",2
Bank Mandiri KCP Jakarta Melawai,5,"pelayanannya sangat bagus dan cs, tellernya ramah-ramah.",2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,"puas banget sama layanan pelanggan nya, terutama mbak zennet, layanan cust besar pertahankan ya",2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Melawai,5,pelayanan yang baik dan cepat,2
Bank Mandiri KCP Jakarta Melawai,5,"pelayanan baik semua, terimakasih",2
Bank Mandiri KCP Jakarta Melawai,5,sangat puas dengan pelayanan yang diberikan.,2
