Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Menara Astra,5,pelayanan yang sangat baik dan profesional! tim menara astra mandiri sangat responsif dan membantu dalam menyelesaikan masalah saya. saya sangat puas dengan pelayanan yang diberikan oleh menara astra mandiri. mereka benar-benar peduli dengan kebutuhan pelanggan.,2
Bank Mandiri KCP Jakarta Menara Astra,5,"layanan nya bagus, pada ramah ramah juga, betah banget kalo setoran disini",2
Bank Mandiri KCP Jakarta Menara Astra,5,pelayanannya cepat dan ramah ramah orangnya,2
Bank Mandiri KCP Jakarta Menara Astra,5,"pelayanan yang sangat baik, security nya ramah & bisa menjelaskan dengan mudah di mengerti tentang livin. security nya juga mau memberitahu apa saja yang harus di siapkan ketika mengurus",2
Bank Mandiri KCP Jakarta Menara Astra,5,pelayanannya baik banget ramah,2
Bank Mandiri KCP Jakarta Menara Astra,5,"pelayanannya cepat, petugas dan sekuritinya juga sangat ramah.",2
Bank Mandiri KCP Jakarta Menara Astra,5,"cs nya ramah, security nya ramah powll gains",2
Bank Mandiri KCP Jakarta Menara Astra,5,"tempatnya nyaman,bersih,pelayanannya memuaskan,staff nya ramah2 transaksi di tangani dengan cepat",2
Bank Mandiri KCP Jakarta Menara Astra,5,pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Menara Astra,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Astra,5,"cabangnya bersih dan wangi, staffnya ramah juga lagi, top mantap",2
Bank Mandiri KCP Jakarta Menara Astra,5,"semua layanan di sini memuaskan, staf yang ramah dan cepat.",2
Bank Mandiri KCP Jakarta Menara Astra,5,"pelayanannya baik sekali,tempatnya bersih dan nyaman,ada permen ada dispenser minum untuk nasabah nyaman pokoknya terimakasih",2
Bank Mandiri KCP Jakarta Menara Astra,5,"pelayanan nya bagus, security ramah, transaksi cepat",2
Bank Mandiri KCP Jakarta Menara Astra,1,"antrian payah, bisa diselak, tergantung kenal apa tidak dengan security dan atasan mandiri nya.. aneh",0
