Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Menara Citicon,5,pelayan baik dan cepat,2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan terbaik,ramah,cepat,sigap",2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan yang sangat memuaskan, staff yang ramah dan tanggap dalam melayani nasabah.",2
Bank Mandiri KCP Jakarta Menara Citicon,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Menara Citicon,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Citicon,5,pelayanan nya cepat dan bagus,2
Bank Mandiri KCP Jakarta Menara Citicon,5,pelayanannya keren,2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan nya cepat, luar biasa dan semoga teller nya ditambah",2
Bank Mandiri KCP Jakarta Menara Citicon,5,"cs nya ramah, pelayanan baik",2
Bank Mandiri KCP Jakarta Menara Citicon,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanannya sangat bagus, cs dan teller nya ramah dan cepat tanggap",2
Bank Mandiri KCP Jakarta Menara Citicon,5,cepat dan tanggap,2
Bank Mandiri KCP Jakarta Menara Citicon,5,pelayanan nya sangat baik sekali terima kasih teler dan cs mandiri citicon,2
Bank Mandiri KCP Jakarta Menara Citicon,5,layanan baik dan enak tempat tunggunya,2
Bank Mandiri KCP Jakarta Menara Citicon,5,tempat nya bersih dan pegawainya ramah ramah .,2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan nya bagus,ramah terbaik",2
Bank Mandiri KCP Jakarta Menara Citicon,5,senang banget dengan pelayanan nya yang super ramah menjelaskan informasi dengan baik,2
Bank Mandiri KCP Jakarta Menara Citicon,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Citicon,5,marketingnya okay,2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan nya baik dan ramah , terima kasih",2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanannya bagus banget, ramah, cepat tanggap dan sangat membantu",2
Bank Mandiri KCP Jakarta Menara Citicon,5,"pelayanan nya sangat baik dan ramah, ruang tunggu nya juga nyaman dan bersih, terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Menara Citicon,5,staff dan pelayanan nya sangat ramah dan memberikan kesan yang positif,2
Bank Mandiri KCP Jakarta Menara Citicon,5,the best,2
