Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Menara Thamrin,5,pelayanan nya cepat anak cpdk nya ramah,2
Bank Mandiri KCP Jakarta Menara Thamrin,5,"wydia membantu saya hari ini . dia sabar, cerdas, komunikator yang baik . terima kasih wydia",2
Bank Mandiri KCP Jakarta Menara Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Thamrin,5,"pelayanan ramah"" dan cepat salam,senyum,sapa",2
Bank Mandiri KCP Jakarta Menara Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Thamrin,5,"layanan prima dari tenaga ahli yang ramah, murah senyum & bersahaja",2
Bank Mandiri KCP Jakarta Menara Thamrin,5,pelayanannya bagis staffnya ramah raman,2
Bank Mandiri KCP Jakarta Menara Thamrin,5,"pelayanannya sangat ramah dan cepat. sangat membantu, terima kasih.",2
Bank Mandiri KCP Jakarta Menara Thamrin,5,"pelayanannya cepat, staffnya ramah ramah nyaman juga",2
Bank Mandiri KCP Jakarta Menara Thamrin,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menara Thamrin,1,"seberapa cepat, berapa lama?",0
