Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Menteng,5,pelayanan nya bagus dan karyawan nya juga baik dan ramah,2
Bank Mandiri KCP Jakarta Menteng,5,service dan layanan baik.,2
Bank Mandiri KCP Jakarta Menteng,5,service yang diberikan kepada nasabah sangat baik dan ramah. selalu ditingkatkan dan jaya selalu cabang menteng,2
Bank Mandiri KCP Jakarta Menteng,5,pelayanan sangat baik dan ramah.. maju terus bank mandiri kcp jakarta menteng,2
Bank Mandiri KCP Jakarta Menteng,3,menurutku pelayanannya ramah tapi cukup lama dalam proses melayani customer. semoga kedepannya bisa lebih baik lagi,1
Bank Mandiri KCP Jakarta Menteng,5,"tellernya ramah dan baik banget, terima kasih ibu ""murti"" sudah di bantu",2
Bank Mandiri KCP Jakarta Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menteng,5,disini pelayanannya bagus ramah. toilet dan musholanya juga bersih terawat. terbaik memang bank mandiri kcp menteng . tingkatin terus ya servicenya,2
Bank Mandiri KCP Jakarta Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Menteng,5,"pelayanan memuaskan dari semua lini. tks bmri jakarta menteng, sangat membantu.",2
Bank Mandiri KCP Jakarta Menteng,5,saya senang pelayanan ramah dan baik.,2
Bank Mandiri KCP Jakarta Menteng,5,"staff dan pelayannya sangat ramah, sukses dan jaya selalu mandiri menteng",2
Bank Mandiri KCP Jakarta Menteng,5,"pelayanannya dan staff bank mandiri ini ramah semua, sukses selalu mandiri menteng",2
