Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,pelayanan yang luar biasa,2
Bank Mandiri KCP Jakarta Mid Plaza,5,"pelayanan baik, ramah"" baik security, teller dan petugas bank yang lain nya,",2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,1,pelayanan buruk!,0
Bank Mandiri KCP Jakarta Mid Plaza,5,pelayanan sangat ramah,2
Bank Mandiri KCP Jakarta Mid Plaza,1,mengurus bank garansi dari jumat sampai sekarang dilempar lempar susah kasih info ada kendala apa,0
Bank Mandiri KCP Jakarta Mid Plaza,1,"sangat mengecewakan blokir rekening orang se enaknya.. pengin saya ratakan dengan tanah,..",0
Bank Mandiri KCP Jakarta Mid Plaza,1,blokir rekening orang hanya dengan bukti transfer tanpa tau kebenarannya,0
Bank Mandiri KCP Jakarta Mid Plaza,5,semua staf ramah,2
Bank Mandiri KCP Jakarta Mid Plaza,5,"baru-baru ini saya mengunjungi cabang bank mandiri di mid plaza, dan saya benar-benar terkesan dengan layanan yang disediakan.",2
Bank Mandiri KCP Jakarta Mid Plaza,5,"tempat nyaman, bersih. pelayanan ramah, cepat",2
Bank Mandiri KCP Jakarta Mid Plaza,5,keren,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,keren pelayananana .,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,3,"untuk tempat dan keramahan sudah sangat baik, top lah.tapi untuk pelayanan beuh jauh dari baik. contoh case pengurusan refund e money yang rusak bisa hampir 1 bulan belum beres dan itu juga harus didatangi 2 kali. kalau alasannya nomor",1
Bank Mandiri KCP Jakarta Mid Plaza,5,pelayanannya sangat baik dan cepat dalam menanggapi masalah yang dihadapi pelanggan,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,bagus pelayanan nya,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat membantu,2
Bank Mandiri KCP Jakarta Mid Plaza,1,"kesini buat ganti kartu atm yang sudah expired. datang jam 13.36 wib. di depan saya ada 4 antrian, sampai jam 15.07 wib masih belum dipanggil. bisa dilihat difoto dari 7 counter, cuma 2 yang buka. waktu tunggu sangat lama. pegawai tidak cekatan. saya tidak merekomendasikan ke cabang ini :)",0
Bank Mandiri KCP Jakarta Mid Plaza,1,lama banget,0
Bank Mandiri KCP Jakarta Mid Plaza,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,ok,2
Bank Mandiri KCP Jakarta Mid Plaza,5,tolong disediakan alat kopi/teh untuk pelanggan. semoga bank mandiri branch midplaza tambilba maju pesat.,2
Bank Mandiri KCP Jakarta Mid Plaza,5,"baik,ramah",2
Bank Mandiri KCP Jakarta Mid Plaza,5,pelayanan dari tellernya sangat memuaskan dan ramah,2
Bank Mandiri KCP Jakarta Mid Plaza,5,ramah ramah telernya,2
