Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,terimakasih pelayanan nya mantap,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanan nya sangat baik ramah sopan,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,terima kasih banyak sangat membantu sekali pelayananyah,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanannya nyaman baik dan ramah,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanan nya mantap cepat dan ramah terimakasih,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"pelayanannya sangat ramah, dan saat ada keluhan cepat banget memberi solusi mantap cs nya",2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"pelayanannya sangat the best, dibantu dan dijawab secara detail pertanyaan pembukaan rekening. cs, teller, dan satpam sangat ramah",2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanan nya ramah dan cepat terimakasih,2
Bank Mandiri KCP Jakarta Mitra Bahari,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"terima kasih mandiri atas pelayanannya, cepat, mantap",2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat memuaskan,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"pelayanannya cepat dan ramah. mantap, terima kasih",2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"strategis, pegawai ramah",2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanan nya ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,terimakasih atas pelayanannya cepat dan mantap,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,pelayanannya cukup bagus,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Mitra Bahari,5,"pelayanan ramah, tempat sudah diperbarui, lebih nyaman",2
