Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan nya mantaap..,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pakrakhen terbaik cs, dan satpam risno ramah pelayanananan nya",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayan cabang sangat baik..,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pak risno terbaik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pembukaan rekening mudah & cepat lewat aplikasi livin,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan cs cepat dan ramah,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan bagus dan cepat,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,layanan memuaskan,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sunggung mengesankan pelayan rama dan baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan nya sangat ramah,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanan sangat baik, cs ramah.",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,1,"buruk, masa mau bayar pajak tka saja dipersulit. disuruh buka rek baru lah, enggak bisa konversi rupiah ke usd lah. padahal ini salah satu bank yang ditunjuk oleh negara. sungguh mengecewakan!",0
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,terima kasih mandiri,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,bagus ramah juga telernya makash ya kak,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan sangat cepat dan baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanannya baik. ada kendala cepat diatasi sama cs nya. cs nya juga ramah bgt, best pokoknya",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanan nya top bangett, terimakasih",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,muantapakris..,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,mandiri mukalam. ok,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"layanan yang sangat baik, komunikasi besar",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,mantap pelayanan ramah banget,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,best,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,mantap pelayannya,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"cabangnya bagus, pelayanan bagus, cs ramah, teller juga cepat. mantap",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,layanan ramah dna cepat,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"tellernya sopan, informatif banget.",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pak terbaik risno tks bantuannya,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,layanan ok,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,trmksh bantuannya,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,trmksh bantuannya,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,keren banget pelayananana,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,stabil,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,oke banget,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"tks pak risno untuk pelayanannya,cabangnya bersih adem,teller dan cs nya ramah tamah.",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"terima kasih sudah di bantu pembukaan reking melalui livin by mandirin pelayanan nya the best tks pak risno dan pak dimas,cabang nya bersih adem.",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"terima kasih pak risno sudah membantu pembukaan rekening, alhamdulillah proses nya cepat.",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanan nya baik dan ramah dari satpam, cs dan teller nya sangat membantu",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat baik dan sopan sopan satpam dan pegawai nya,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,tempat nya adem.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"security nya ramah, teller nya ramah, tempatnya bersih, dingin, saya suka",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,keren,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanannya bagus dari security dan staf bank ! dekat dari tempat tinggal juga,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"security sangat helpful, cs yang membantu pembukaan rekening juga sangat helpful dan ramah. overall pelayanan di sini sangat memuaskan",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,tks apa risno sudah membantu pembukaan rekening dan cara ambil duit tanpa kartu informasi nya jelas banget,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,service nya bagus,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"terima pak risno sudah membantu pembukaan rekening melalui livin by mandiri dan stroke tunai tanpa kartu, pokoknya the best",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,baik secara keseluruhan,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,terima kasih pak satpam risno sudah membantu pembukaan rekening di livin pelayanan nya ramah dan sabar,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan ramah dan proses cepat. pak ahmad yang melayani dengan cekatan dan perjuangan yang patut diapresiasi. bravo bank mandiri!,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,alhamdulillah pelayanan sangat membantu dan security nya baik dan ramah,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,pelayanan yang terbaik. semangat!,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,ur yang terbaik untuk layanan,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"cabang nya keren, hhe",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,terima kasih untuk pelayananana untuk bapak satpam and mas rahken kapissa.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanan bagus, cepat, dan stafnya ramah""",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,semua nya teller sama cso nya baik,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"terima kasih pak risno/ security sudah membantu mengarahkan stor tunai di mesin atm dan cara tarik tunai tanpa kartu,ramah tamah pelayanan nya",2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Dalam,5,"pelayanan ramah, proses trx cepat",2
