Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Muara Karang Raya,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,nyaman dan cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Muara Karang Raya,1,customer service tidak ramah. niat mau buka rekening dan apply kartu kredit jadi enggak jadi. tolong di training yang baik untuk cs nya. cewek tidak pakai kerudung rambut panjang,0
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan bagus buka mandiri gampang langsung di perusahaan,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,satpam sangat ramah dan sangat membantu kendala tanpa ke cs masalah selesai,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"cepat pelayanan, ramah. transaksi cepat dilayani. greats!",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayanannya sangatt ramahh,",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,bagus aman dan terpercaya.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanannya super duper ramahh puol,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,service nya bagus dan baik,2
Bank Mandiri KCP Jakarta Muara Karang Raya,1,"cabang paling aneh. yang mau transaksi cash jangan ke sini, karena tidak melayani transaksi tunai.",0
Bank Mandiri KCP Jakarta Muara Karang Raya,4,"layanan di sini mendapat tutup botol, tapi apa yang berdiri keluar bagi saya adalah bagaimana seluruh aliran benar-benar dimulai dari penjaga keamanan.",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"bagus dan mantap, saya dilayani setulus hati seperti lagunya tulus",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayanannya semuanya ramah , cepat , tempat nya juga bersih",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayanan ramah, yang paling oke sih memang aplikasi livin sih menurutku lengkap banget fiturnya, livin merchant juga membantu banget buat yang punya usaha",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,layanan ya ok,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,cs kasih solusi finansial,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,layanan ya ok,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,cabang bagus bersih serta pelayanannya ramah. transaksi disini juga cepat dan ramah,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"mantap pokoky, enggak perlu tulis2 kalau mau setor",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"ke teller duduk ,enak si",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,satpam ramah dan layanan cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,layanan cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"stafnya ramah, pelayanannya memuaskan",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"ganti kartu cepat, cs ramah",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,satpam ya sangat membantu dan layanan ya cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,ramah dan cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat cepat,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,nyaman ac dingin banget,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,good,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayan ramah dan baik,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayan lebih unggul .. sangat membantu!,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,mantap,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"ruangnya wangi , pelayanan cepat , cepat lagi untuk mengurus dokumen nya..",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayanan cepat,",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"ganti kartu mudah ,hanya di mesin",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan sudah bagus ditingkat kan lagi lebih bagus,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"cabang mandiri yang bersih banget. nyaman banget kalau transaksi disini, tellernya cekatan, csnya baik dan telaten banget.",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayan cepat dan satpam ramah,2
Bank Mandiri KCP Jakarta Muara Karang Raya,3,"katanya kalo kartu hilang bisa gunain csm salah satunya di lokasi ini, tapi cs machine nya enggak ada yaa? atau enggak 24 jam yaa?",1
Bank Mandiri KCP Jakarta Muara Karang Raya,5,nyaman,2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayanan baik, banking hole sangat nyaman parkiran luas terbaik",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,"pelayan sangat memuaskan,parki sangat luas,banking hoal sangat nyaman pokoknya well",2
Bank Mandiri KCP Jakarta Muara Karang Raya,5,pelayanan cepat dan enggak ribet,2
