Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Multivision Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Multivision Tower,1,atm lemot,0
Bank Mandiri KCP Jakarta Multivision Tower,5,"pelayanannya sangat baik, ramah dan tanggap dalam memenuhi kebutuhan nasabah",2
Bank Mandiri KCP Jakarta Multivision Tower,5,cabang nya bersih nyaman dan pegawai nya ramah-ramah,2
Bank Mandiri KCP Jakarta Multivision Tower,5,"banking hall bersih, pelayanan bagus",2
Bank Mandiri KCP Jakarta Multivision Tower,5,"walaupun ini bukan yang gurusin cc tapi saya dibantu dengan pelan sampai case close, terimakali bu ati dan tim",2
Bank Mandiri KCP Jakarta Multivision Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Multivision Tower,5,pelayanan nya bagus banget dan orang orang nya ramah ramah,2
Bank Mandiri KCP Jakarta Multivision Tower,5,"tempatnya nyaman, pelayanannya sangat ramah.",2
Bank Mandiri KCP Jakarta Multivision Tower,5,"pelayanannya ramah, tempatnya nyaman, memuaskan deh bertransaksi di multivision.",2
Bank Mandiri KCP Jakarta Multivision Tower,5,"pelayanan baik, teller ramah, cs informatif menjelaskan berbagai produk, suasana banknya juga bersih dan rapi.",2
Bank Mandiri KCP Jakarta Multivision Tower,5,"tempat bersih, pelayanan baik",2
Bank Mandiri KCP Jakarta Multivision Tower,1,transaksinya lama banget. sudah dikonfirmasi 45 minta dari bank cabang kita tapi belum diproses juga. tidak menghargai waktu nasabah.. sangat kecewa nasabah dibiarkan menunggu terlalu lama.,0
