Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Nindya Karya,5,"sangat membantu , pelayanannya cepat, terima kasih mbak mely sudah melayani saya dengan ramah",2
Bank Mandiri KCP Jakarta Nindya Karya,5,biarkan bintang yang bicara,2
Bank Mandiri KCP Jakarta Nindya Karya,5,"pelayanan baik dan prima, cepat dan sangat membantu",2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,layanan cepat,2
Bank Mandiri KCP Jakarta Nindya Karya,5,petugas nya sangat sopan dan ramah terhadap teman-teman komunitas tidak memandang genders.srlalu memberikan petunjuk.jika nasabah dalam kesulitan.terimakasih melli dan staf yang lain.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,kantor nya bersih wangi nyaman,2
Bank Mandiri KCP Jakarta Nindya Karya,5,luar biasa,2
Bank Mandiri KCP Jakarta Nindya Karya,5,bagus,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sugoina,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,subarashii,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Nindya Karya,5,pelayanannya baik n ramah,2
