Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,oke mantap,2
Bank Mandiri KCP Jakarta Oakwood,5,mantap,2
Bank Mandiri KCP Jakarta Oakwood,5,oke mantap,2
Bank Mandiri KCP Jakarta Oakwood,5,transaksi mulah dan pelayan ramah,2
Bank Mandiri KCP Jakarta Oakwood,5,terima kasih,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,top,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,pelayanan baik dan memuaskan,2
Bank Mandiri KCP Jakarta Oakwood,5,cs nya ramah ramah,2
Bank Mandiri KCP Jakarta Oakwood,5,"cs sangat solutif dan komunikatif, sangat membantu ketika nenek saya melakukan transaksi di mesin atm cabang oakwood dan membantu mencari kacamata nenek saya yang hilang. terima kasih kak wulan dan pak security atas service yang baik",2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,"cs bu putri sangat ramah dan sangat membantu, terima kasih",2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Oakwood,5,"peleyan numero uno, di jelasin bernyanyi secara detail sangat membantu terima kasih mbak wulansari atas bantuanmu",2
Bank Mandiri KCP Jakarta Oakwood,5,"bank mandiro cabanh oakwood sangat membantu dalam pembuatan rekening dengan cepat, terimakasih",2
Bank Mandiri KCP Jakarta Oakwood,5,mandiri bank top,2
