Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Otto Iskandardinata,1,"ini bank kok prosesnya lama banget ya? waktu itu menunggu hampir sejam cuma buat urusan yang harusnya bisa cepet. enggak ada kejelasan juga dari stafnya. saya tidak menyalahkan satu orang, tapi ini mencerminkan sistem kerja yang tidak efisien. semoga bisa dibenahi, karena banyak nasabah yang kerja juga dan enggak bisa menunggu segitu lama.",0
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,besar & layanan cepat dan kantor bagus & bersih,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,1,teller cuma 1 antrian banyak,0
Bank Mandiri KCP Jakarta Otto Iskandardinata,3,tukang parkir tolong ditertibkan,1
Bank Mandiri KCP Jakarta Otto Iskandardinata,2,"sepanjang saya ke bank mandiri, kali ini merupakan pelayanan yang sangat lama (entah hanya hari ini saja, atau setiap harinya seperti ini). saya datang dari jam 11.00 wib menunggu sampai jam 12.00 lewat tapi masih belum dilayani. petugas",0
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"petugasnya ramah2,tempatnya bersih, pelayanan cepat. terima kasih",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,4,sangat baik,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,cs ramah,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"mudah dan cepat, pelayanan sangat baik dan responsif serta sangat jelas",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"satpam ramah, cs atas nama mbak melia informatif dan membantu",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"terima kasih, mandiri.",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,customer service atas nama melia sangat ramah dan membantu sekali,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat ramah dan,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"pelayanan baik, ramah",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,pengobatan yang bagus.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,4,"ganti kartu disini pelayanan ramah, cepat juga prosesnya",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,1,"tolong stok kartu mandiri e-money,,tiap mau beli stok kosong terus,sekali ada mau beli kartu nya saja enggak boleh,mesti topup min 100rb,,",0
Bank Mandiri KCP Jakarta Otto Iskandardinata,4,semua petugas bank sangat baik,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,"pelayanan baik, ramah dan penjelasan yang diberikan mudah dipahami.",2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Otto Iskandardinata,5,sangat puas dengan pelayanan yang diberikan.,2
