Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta PHE Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PHE Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PHE Tower,5,"keren pelayanan cepat, teller ramahh , suasananya enak",2
Bank Mandiri KCP Jakarta PHE Tower,5,"pelayanan cepat, teller cs membantuu, bakal balik lagi kesini sih. good job",2
Bank Mandiri KCP Jakarta PHE Tower,5,good,2
Bank Mandiri KCP Jakarta PHE Tower,5,"pelayanan memuaskan, staff ramah dan sigap",2
Bank Mandiri KCP Jakarta PHE Tower,5,"sangat memuaskan transaksi disini, pelayanan baik dari scurity cs hingga teller nya. sukses selalu bank mandiri",2
Bank Mandiri KCP Jakarta PHE Tower,5,pelayanan ramah dan memuaskan,2
Bank Mandiri KCP Jakarta PHE Tower,5,layanan yang sangat baik,2
Bank Mandiri KCP Jakarta PHE Tower,5,bagus sekali,2
Bank Mandiri KCP Jakarta PHE Tower,5,terimakasih mbak maya pelayanan oke..sebagai frontliner..so far ok banget .,2
Bank Mandiri KCP Jakarta PHE Tower,5,"penanganan nya sangat baik, good job.",2
Bank Mandiri KCP Jakarta PHE Tower,5,pelayanan cepat dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta PHE Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PHE Tower,5,ramah2 orangnya,2
Bank Mandiri KCP Jakarta PHE Tower,5,"pelayanan ramah, tempat lumayan luas, adem, nyaman, dan bersih. tetap pertahankan pelayanan ya",2
Bank Mandiri KCP Jakarta PHE Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PHE Tower,5,"bagus tempat nya nyaman, fasilitas nya bagus, orang nya ramah",2
Bank Mandiri KCP Jakarta PHE Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PHE Tower,5,"pelayananya baik , petugasnya ramah, terbantu saat bertransaksi",2
Bank Mandiri KCP Jakarta PHE Tower,5,sering transaksi disini. pelayanan nya gesit pegawai nya ramah ramah semua teller nya murah senyum. tempat nya nyaman enggak takut kepanasan,2
Bank Mandiri KCP Jakarta PHE Tower,5,"mas juliar kocak, tempatnya bersih dan luas, pelayanannya help full",2
Bank Mandiri KCP Jakarta PHE Tower,5,"buat yang mau buka tabungan, mengurus perbankan mandiri. aku recommended kesini!! staffnyaa sangat baik sekali dan helpful.. terus menjadi yang terbaik dari cabang lain yaa..",2
