Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,"cabangnya nyaman, pegawai nya helpfull, design modern. terbaik",2
Bank Mandiri KCP Jakarta PLN Pusat,5,layanan yang bagus.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,wangi banget,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,pelayanan top,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,pelayanannya sangat memuaskan. tempatnya nyaman. ramah petugasnya,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,layanan cepat dan tepat,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,layanan terbaik,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,menggunakan mandiri ok banget,2
Bank Mandiri KCP Jakarta PLN Pusat,5,server terbaik,2
Bank Mandiri KCP Jakarta PLN Pusat,5,"pelayanannya ramah, pertahankan, enggak bakalan menyesal kemari",2
Bank Mandiri KCP Jakarta PLN Pusat,5,"customer carenya perhatian, ramah, dan memahami persoalan nasabah ruangan kantor bersih, rapi dan wangi",2
Bank Mandiri KCP Jakarta PLN Pusat,5,"cukup membantu, terima kasih",2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat ramah tellernya,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,livin mandiri membuat perbaikan,2
Bank Mandiri KCP Jakarta PLN Pusat,5,pelayanannya baik ramah dan cepat,2
Bank Mandiri KCP Jakarta PLN Pusat,5,"pelayananan cepat, ramah, canggih. makasiih",2
Bank Mandiri KCP Jakarta PLN Pusat,5,bersih,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sudah oke,2
Bank Mandiri KCP Jakarta PLN Pusat,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,"pelayanan cepat, penjelasan mudah dipahami, nyaman dan ramah",2
Bank Mandiri KCP Jakarta PLN Pusat,5,service nya baik dan ramah menyenangkan,2
Bank Mandiri KCP Jakarta PLN Pusat,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta PLN Pusat,5,ok banget,2
Bank Mandiri KCP Jakarta PLN Pusat,5,"cabangnya nyaman, bersih, rapi, dan wangi",2
