Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pademangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pademangan,5,"bank mandiri cabang jakarta pademangan sangat bersih, pelayanan customer service dan teller nya sangat baik dan cepat, satpamnya ramah",2
Bank Mandiri KCP Jakarta Pademangan,5,"tempatnya nyaman , layanan sangat baik",2
Bank Mandiri KCP Jakarta Pademangan,5,"layanan yang sangat baik untuk anak offline, teller, layanan pelanggan, dan keamanan",2
Bank Mandiri KCP Jakarta Pademangan,5,keren cabangg baru wangi nyaman,2
Bank Mandiri KCP Jakarta Pademangan,5,"satpamnya ramah sekali, pelayanan transaksi di teller cepat. tempat parkir jauh lebih luas dari lokasi sebelumnya",2
Bank Mandiri KCP Jakarta Pademangan,5,senang sekali bisa menabung di mandiri pademangan.. pelayanannya cepat dan ramah. customer service sangat responsif dalam menyelesaikan masalah. lokasi parkirnya luas dan ruang tunggunya nyaman..,2
Bank Mandiri KCP Jakarta Pademangan,5,"cabang nya keren, bersih, rapi, dan pelayanan nya juga bagus.",2
Bank Mandiri KCP Jakarta Pademangan,5,tempatnya strategis pinggir jalan dan pelayanan yang memuaskan,2
Bank Mandiri KCP Jakarta Pademangan,5,tempat nya bersih,2
