Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,bank mandiri yang terbaik,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,terima kasih pelayanan bank mandiri orangnya baik dan ramah namanya ibu kartika dan cepat pelayanannya,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,cs nya ramah dan sangat baik,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,good,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,"pelayanan ramah, cekatan dan baik terima kasih mbak kartika vidia",2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,pelayanan cepat dan excellent,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,tempat nya keren pelayanan bagus,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,pelayanannya bagus..teller maupun custamer servis nya bagus,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,"pelayanannya cepat dan ramah, kantornya rapi dan bersih",2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,"pelayanannya sangat cepat, kantor juga nyaman",2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,"cabang sini ramah dan cepat banget pelayanannya, tellernya cantik hahaha",2
Bank Mandiri KCP Jakarta Pahlawan Revolusi,5,baik,2
