Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,cadang yang orangnya,2
Bank Mandiri KCP Jakarta Pakubuwono,5,alhmdllh pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,petugasnya ramah dan murah senyum,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Pakubuwono,5,cabangnya bagus dalam pelayanan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,"pelayanan nya sangat baik, apalagi yang ngelayanin ganteng dan cantik",2
Bank Mandiri KCP Jakarta Pakubuwono,5,"pelayanannya cepat, seluruh petugas ramah",2
Bank Mandiri KCP Jakarta Pakubuwono,5,"pelayanannya baik sekalii, staff nya juga ramah",2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanannya sangat ramah,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Pakubuwono,5,karyawannya sangat ramah dan helpful,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanannya baik dan cepat,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,cabang terbaik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,"pegawainya ramah dan proses kredit cepat, sehat dan sukses selalu",2
Bank Mandiri KCP Jakarta Pakubuwono,5,proses kredit disini cepat,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,"ramah, suporting dan solutif",2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,semoga semakin berkah & jaya selalu bank mandiri pakubuwono,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pakubuwono,5,"pelayanannya help full sekali dari security, cs dan tellernya. cabangnya juga nyaman",2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan sangat ramah terimakasih bank mandiri cabang pakubuwono,2
Bank Mandiri KCP Jakarta Pakubuwono,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pakubuwono,5,pelayanan okee banet,2
Bank Mandiri KCP Jakarta Pakubuwono,5,ganti kartu atm sangat dibantu. petugas ramah dan helpfull,2
Bank Mandiri KCP Jakarta Pakubuwono,5,"proses kredit nya alhamdulillah lancar, mudah dan cepat,, pelayanan ramah,sukses buat mandiri,, semangat",2
