Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP JKT Palem CIty,5,"cabangnya sempit, pelayanan bagus",2
Bank Mandiri KCP JKT Palem CIty,5,"pelayanannya ok banget dan sopan2, mantap pokoknya",2
Bank Mandiri KCP JKT Palem CIty,5,cabangnya dingin.,2
Bank Mandiri KCP JKT Palem CIty,5,cabangnya keren banget.,2
Bank Mandiri KCP JKT Palem CIty,5,"pelayanan cs dan tellernya super baik , cekatan, fast respon, dan super ramah semuanya",2
Bank Mandiri KCP JKT Palem CIty,5,teler sangat ramah dan pelayanan sangat baik,2
Bank Mandiri KCP JKT Palem CIty,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JKT Palem CIty,5,sangat bagus,2
Bank Mandiri KCP JKT Palem CIty,5,"teller mamdiri,ramah dan cepat.pelayanan bagus",2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan ramah bersih,2
Bank Mandiri KCP JKT Palem CIty,5,cabang bersih pelayanan ramah ob dan scurity nya antusia menyabut nasabah yang datang pokoknya terbaik,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan sangat baik,2
Bank Mandiri KCP JKT Palem CIty,5,"pelayanan dari karyawan baik dan sangat ramah, fasilitas tempat bersih dan rapi",2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan cukup cepat.,2
Bank Mandiri KCP JKT Palem CIty,5,cabangnya bersih dan wangi,2
Bank Mandiri KCP JKT Palem CIty,5,cabang mandiri bersih dan pelayanan nya bagus.,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanannya ramah banget.,2
Bank Mandiri KCP JKT Palem CIty,5,tempat nya nyaman dan karyawannya sangat amat ramah,2
Bank Mandiri KCP JKT Palem CIty,5,rama pelayanan,2
Bank Mandiri KCP JKT Palem CIty,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JKT Palem CIty,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JKT Palem CIty,5,bagus pelayanannya,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan baik-baik saja,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan costumer service ramah cepat,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan baik,2
Bank Mandiri KCP JKT Palem CIty,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JKT Palem CIty,1,"saya menunggu sudah 2 jam tidak dipanggil no antrian,sedangkan orang yang baru datang langsung dilayani,parah sekali pelayanan nya.mentang"" yang baru datang orang kaya,langsung dilayani.",0
Bank Mandiri KCP JKT Palem CIty,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP JKT Palem CIty,5,pelayanan cepat dan ramah,2
