Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Palma Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanan cepat, semua staff ramah, tepat jam 10 staff dan pengunjung berdiri dan menyanyikan lagu indonesia raya",2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayan terbaik,2
Bank Mandiri KCP Jakarta Palma Tower,5,"kantor cabangnya bersih, tim cabang palma semua baik dan ramah, pelayanannya bagus ok",2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanannya oke,teler cs,hingga security cukup membantu",2
Bank Mandiri KCP Jakarta Palma Tower,5,masya allah pelayananan bank mandiri palmawer ramah rama barakhalhu fiikum,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanannya sangat baik, cs nya ramah2",2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan yang bagus dan ramah good,2
Bank Mandiri KCP Jakarta Palma Tower,5,nyaman dan ramah banget pelayananana--,2
Bank Mandiri KCP Jakarta Palma Tower,5,"lingkungan dan tempat nya bersih dan ramah"" pelayanannya. terimakasih",2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanan ramah , bersih dan nyaman",2
Bank Mandiri KCP Jakarta Palma Tower,5,lingkungan dan tempatnya nyaman,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan bagus dan ramah,2
Bank Mandiri KCP Jakarta Palma Tower,5,customer service sangat helpingl and ramah,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan sangat baik & pegawainya ramah,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Palma Tower,5,mantap,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Palma Tower,5,tempat yang bagus.,2
Bank Mandiri KCP Jakarta Palma Tower,5,good,2
Bank Mandiri KCP Jakarta Palma Tower,5,layanan yang memuaskan,2
Bank Mandiri KCP Jakarta Palma Tower,5,mantap pelayanannya. sukses selalu,2
Bank Mandiri KCP Jakarta Palma Tower,5,terbak.,2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanannya oke banget , ramah semua orang-orang nya , membantu deh pokok nya luv",2
Bank Mandiri KCP Jakarta Palma Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palma Tower,5,untuk pelayanan baik dan sopan,2
Bank Mandiri KCP Jakarta Palma Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palma Tower,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Palma Tower,5,"pelayanan frontliner baik,banking hall bersih & cabangnya nyaman.",2
Bank Mandiri KCP Jakarta Palma Tower,5,layana cepat dan sevic ok,2
Bank Mandiri KCP Jakarta Palma Tower,5,nyaman sekali,2
Bank Mandiri KCP Jakarta Palma Tower,5,layanan terbaik yang pernah ada.,2
