Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan sangat ramah dan baik,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,tingkatkan smuanya,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,"terimakasih bank mandiri palmerah, staff nya ramah, pelayanan nya cepat.",2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,"puas dengan pelayanan nya, ramah sekali.",2
Bank Mandiri KCP Jakarta Palmerah,5,bu yunda keren,2
Bank Mandiri KCP Jakarta Palmerah,5,"pelayanan terbaik, cekatan, mantap kak yunda",2
Bank Mandiri KCP Jakarta Palmerah,5,"pelayanan bagus, semua staff nya ramah2 terlebih lagi staff axa nya sangat helpfull dan ramah banget . security nya oke bgt. cs nya membantu banget cepat jga. teller best",2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,dari satpam cs dan tellet nya ramah-tamah. sukses selalu mandiri,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Palmerah,5,staff nya ramah dan membantu,2
Bank Mandiri KCP Jakarta Palmerah,5,"orang nya ramah ramah semua, apalagi kak aisha, baik banget mau bantu livin aku ke blokir, sehat sehat terus semuanya",2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,teller nya ramah&tamah.,2
Bank Mandiri KCP Jakarta Palmerah,5,"cabangnya keren banget, adem wangi dan pada ramah ramah. apalagi yang namanya kak yunda. sangat the best",2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Palmerah,1,pelayan castemer service kurang memuaskan dan ribet daftar di online langsung jadi,0
Bank Mandiri KCP Jakarta Palmerah,2,maaf. cs nya 3 3 nya lama..,0
Bank Mandiri KCP Jakarta Palmerah,5,mantap,2
Bank Mandiri KCP Jakarta Palmerah,5,"pelayanannya ramah semua, mulai dari satpam, teller sampai cs",2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,terimakasih atas layanan terbaik cabang palmerah. selalu pertahankan!,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat bagus tellernya cantik,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya baik,2
Bank Mandiri KCP Jakarta Palmerah,5,customer servicenya bagus..cekatan dan ramah.pelayanannya juga cepat jadi tidak menunggu lama.terimakasih,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya baik security nya ramah,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,top,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,bagus,2
Bank Mandiri KCP Jakarta Palmerah,5,nyaman sekali,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan nya cepat dan stafnya ramah,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,demi keamanan.,2
Bank Mandiri KCP Jakarta Palmerah,5,seler ramah ramah dan murah senyum pelayanan bagus top terdekat,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,terimakasih bantuannya.. cs nya ramah cepat dan menolong banget,2
Bank Mandiri KCP Jakarta Palmerah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Palmerah,5,pelayanannya sangat bagus dan pegawainya ramah2,2
Bank Mandiri KCP Jakarta Palmerah,5,bank mandiri yang sangat baik dalam melayani customer,2
