Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pancoran L'Avenue,1,pelayanan sangat sangat buruk,0
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"cabang nya bersih dan wangi, dan pelayanan nya juga cepat dan ramah",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,buka rekening mudah dan cepat pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,1,hari ini saya antar ayah saya ke bank mandiri kc l'avenue. mau setor tunai dan transfer. karena waktu buat rekening ini enggak sama saya. jadi cuma dapat kartu saja dan enggak dapat buku serta tidak di arahkan untuk download aplikasi. ternyata kartu,0
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan cepat tanggap,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanannya cepat,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan bagus ramah dan memuaskan. mantap,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"pelayanannya bagus,cepet",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"pelayanannya cepat dan baik, csnya ramah2",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"pelayanan disini sangat ramah, tempatnya juga nyaman uhuyy senang bisa menjadi nasabah bank mandiri",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,security ya baik baik responya cepat tanggap,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,top banget pelayanan dan pemecahan solusinya. urusan saya selalu dipermudah jadi makin nyaman ke bank ini. well done,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"layanannya yang sangat baik dan staf yang ramah serta profesional siap membantu, apalagi tellernya sangat membantu dan ramah sekali disekitar juga banyak fasilitas umum jadi top banget",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"kantornya super rapi dan bersih, pelayanannya juara banget",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan teller dan cs ya terbaik cepat. securitynya ramah mudah senyum,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"satpamnya murah senyum pelayananya cepat, terbaik",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,pelayanan yang terbaik.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"pelayanan bagus, mantapp pertahankan",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,satpamnya responya terbaik valdy mahendra,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,terbaik pelayananya,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,"secara keseluruhan, pengalaman saya telah cukup positif. layanan yang baik dan orang-orang yang sangat membantu",2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pancoran L'Avenue,1,baru kali ini seorang customer service enggak ada servicenya sama sekali. manner 0. kecewa berat sama pelayanan sekelas bank mandiri. yang notabenenya terkenal dengan pelayanan yang baik.,0
Bank Mandiri KCP Jakarta Pancoran L'Avenue,1,attitude customer servis yang baru perlu diperbaiki. yang lama jauh lebih baik.,0
