Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,bagus,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,super duper rama,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,cs san staff nya rama2 dan cabang nya nyakan bersih,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,pelayanan nya cepat dan memuaskan,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"orang-orang disini sangat baik, informatif, dan selalu membantu",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"kartu terblokir, ternyata sudah expired sampai lupa karena kebiasaan pakai livin. ganti kartu di cs cepat jadi izin dari kantor enggak lama. ramah2 dan pelayanan enggak kaku.. thx mandiri pangeran jayakarta",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,cs teller nya good pelayanannya baik is the best semua,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,1,"pelayanannya buruk,kartu kadaluarsa bikin bulan 11 data sudah lengkap disuruh tunggu,giliran tungguin enggak ada info apapun,giliran disamperin belum dibuat,alasannya lupa",0
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,terima kasih puas banget ramah banget,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,taler nya sangat ramah dan membantu.. semoga sukses,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"cs, keamanan ramah, tempatnya juga bersih",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,pelayanan ramah,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"pelayanan karyawan memuaskan, keluhan mendapatkan solusi",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,bagus dan ramah,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,ramah dan cepat pelayanannya,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,pelayanan nya ramah sudah sesuai sop,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"pelayanan cepat dan ramah, best banget",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,di cabang orgnya ramah dalam melayani nasabah,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,good job terima kasih mbak cs yang manis,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"sangat membantu sekali pelayanan di cs pangjay, cs nya mbul senyumnya manis sekali.",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"pelayanan ramah, sangat membahagiakan terima kasih",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,membantu sekali dan cs nya gercep senyumnya manis,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,nice,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,sangat dibantu oleh cs yang gembuk,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,terima kasih mbak cs yang cantik .,2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,"pelayanannya bagus banget, pegawainya ramah2",2
Bank Mandiri KCP Jakarta Pangeran Jayakarta,5,Sangat puas dengan pelayanan yang diberikan.,2
