Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Panglima Polim,5,fitri lestari pelayanannya baik ramah,2
Bank Mandiri KCP Jakarta Panglima Polim,5,mbak fitri pelayanan baik ramah the best pokoknya,2
Bank Mandiri KCP Jakarta Panglima Polim,4,pelayanan cukup baik dan memuaskan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,"proses lancar, cs mbak fitri lestari sangat ramah dan baik, proses cepat",2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat ramah sekali terutama security dan kakak fitri lestari dalam menyambut customer,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanannya sangat baik oleh mbak fitri,2
Bank Mandiri KCP Jakarta Panglima Polim,5,terima kasih banyak kak fitri bantuannya! semoga sehat selalu,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,fitri lestari baik ramah,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,luar biasa pelayanan pak bambang terimakasih pak bambang kiswanto,2
Bank Mandiri KCP Jakarta Panglima Polim,5,security pak bambang sangat membantu,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanannya baik. fitri lestari cantik,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,almas prlayananya ramah mks,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan sangat bagus oleh cs dan teller,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Panglima Polim,5,kcp mandiri polim yang ini sudah selesai di renovasi tempat nya jadi lebih bagus jadi lebih modern untuk staff nya juga ramah2 dan kalo kesini selalu di bantu dengan baik sama mbak annisa yang cepat sat set jadi selesai dengan waktu singkat.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan ramah baik dan memuaskan a/n mbak fitri lestri,2
Bank Mandiri KCP Jakarta Panglima Polim,5,dilayani dengan baik oleh mbak dwi,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,untuk service nya bintang 5,2
Bank Mandiri KCP Jakarta Panglima Polim,5,fitri lestari cs terbaik,2
Bank Mandiri KCP Jakarta Panglima Polim,1,"pelayanan lambat dan tidak cepat,di saat orang kehilangan atm dan meminta cctv di undur2 sampai 2 minggu lebih, bagaimana ceritanya nasabah mau mengejar pelaku pembobolan kartu atm kalo kayak gitu?",0
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan sangat baik dibantu oleh cs mbak fitri,2
Bank Mandiri KCP Jakarta Panglima Polim,5,bagus,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Panglima Polim,4,sangat membantu. terima kasih,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan baik terimakasih kak fitri lestari,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan mbak fitri baik banget,2
Bank Mandiri KCP Jakarta Panglima Polim,5,puas. tetap dipertahankan,2
Bank Mandiri KCP Jakarta Panglima Polim,5,mandiri bank terbaik,2
Bank Mandiri KCP Jakarta Panglima Polim,5,"pelayanannya bagus, csnya mbak fitri ramah sekali.",2
Bank Mandiri KCP Jakarta Panglima Polim,5,"mbak amanda ramah, cepat, dan pelayanannya perfect",2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,bagus sekali pelayanan ramah,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan bagus dan cepat mbak manda ramah kantor baru,2
Bank Mandiri KCP Jakarta Panglima Polim,5,mbak manda adalah yang terbaik,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanannya ramah dan sangat membantu terima kasih mas bagus dan team,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan baik ramah,2
Bank Mandiri KCP Jakarta Panglima Polim,5,pelayanan cepat.. satpamnya ramah,2
Bank Mandiri KCP Jakarta Panglima Polim,5,teller amanda dan annisa sangat ramah dan hambel teruskan,2
Bank Mandiri KCP Jakarta Panglima Polim,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Panglima Polim,5,terimakasih untuk pelayanannya cs fitri lestari yang ramah..,2
Bank Mandiri KCP Jakarta Panglima Polim,5,baik dan ramah buat mbak fitri sehat dan sukses selalu,2
Bank Mandiri KCP Jakarta Panglima Polim,5,bagus..satpam nya ramah,2
