Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,layanan walaupun sangat baik bergegas ts cs mandiri,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan terbaik dan penerbitan kartu lewat mesin lebih mudah dan pelayanannya terbaik,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan ganti kartu cepat tanpa menulis. dengan sistem baru tidak sampai 5mnt.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan memuaskan,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,mantap adalah yang terbaik.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,"pelayanan responsif, kepala cabangnya ikut membantu melayani",2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,"pelayanan memuaskan orang nya ramah2, jadi mudah karena dibantu oleh securitynya",2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,terbaik cabangnya pegawai rumah. pertahankan.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,penggantian kartu sangat cepat di mesin dan di bantu pak security,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan nya bagus ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,"untuk pelayanan nya sangat ramah, cepat, dan recommended banget nabung di bank mandiri pantai indah kapuk",2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,1,"pelayanan lama proses transaksi lama banget, transakis tarik cash bisa 2jam, sudah appointment sudah mengantri lama tapi yang didahulukan yang datang belakangan. tolong diperbaiki sistem dan pelayanannya.",0
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,pelayanan bagus. .ramah senyum. ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Kapuk,5,sangat puas dengan pelayanan yang diberikan.,2
