Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren banget pelayanan,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"proses pelayanan berlangsung cepat, baik, dan tepat. petugasnya mulai dari satpam dan cs sangat ramah, informatif, dan tanggap terhadap kebutuhan nasabah. setiap pertanyaan saya dijawab dengan jelas, dan permintaan saya ditangani tanpa",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan sangat bagus dan ramah. recomended,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pembukaan rekening cepat dan pegawai ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat baik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"buka rekening nya cepat, pelayanan nya bagus",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,kak siska amalia baik banget,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren banget pelayanannya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,cepat ramah beraih,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan bagus, cs ramah, solutif",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,layanan cepat,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"keren banget pelayanan, cepett banget pula",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"security enggak sangat membantu, dan cepat",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,ok,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren banget pelayanan nya. terimakasih bank mandiri pis,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan security dan cs sangat ramah dan sangat membantu terimakasih bank mandiri,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanannya ramah dan cepat. staffnya ramah2.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,cabang ac dingin lantai bersih,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"cs, teller, security ramah, pelayanan cepat, masalah terselesaikan cepat, atm ada dua bisa digunakan dua-duanya",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan ok bagus cs teller security ramah best mesin atmnya ada dua busa dipakai semua,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanannya sangat memuaskan,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,teller pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,good,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanannya bagus, tellernya cepat, cs nya solutif, cabangnya bersih",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelanayan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan yang sangat baik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan nya cukup baik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren banget pelayanya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"keren banget pelayanan cabang pis,sehat terus ya kalian. luar biasa banget",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat luar biasa banget pelayanannya. sehat terus ya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat luar biasa pelayanannya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan teller nya sangat sangat ramah, semoga sehat selalu yaa,",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanannya sangat baik, ramah, dan customer oriented, thank you bank mandiri kcp jakarta pantai indah selatan",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren pelayan ramah dan jelas cukup membantu,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,cs ramah pelayanan ok,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan yang baik dan ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"lingkungan sekitarnya adem, cocok banget disini",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,baik,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan nya ok banget,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanannya memuaskan,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan cepat, cs dan teller nya ramah",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"no mengantri mengantri panjang,pelayanan super ramah semua",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan sangat memuaskan, semua staff ramah dan profesional",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"aku antar mamiku ke bank, orangnya baik dan ramah2.",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan baik dan cepat. cs sangat membantu.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan cs, teller dan mikronya cepat",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,custumer servisnya ramah dan sangat membantu,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat bagus,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,bagus,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan bagus, lebih baik lagi bila bank dibersihkan atau dicat ulang",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"cadang rapi, teller satset, good",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren pelayanannya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan cepat, csnya rama, senyum penuh",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,ruangan bersih nyaman,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanannya super, ramah dan sangat membantu kebutuhan saya ketika datang ke bank mandiri kcp pantai indah kapuk",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"pelayanan ramah, baik dan cepat",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,keren pelayanannya,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,"bagus baik ramah""semua nya",2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,security mantul,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pantai Indah Selatan,5,baik,2
