Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Baru,2,saya print transaksi 5thun lalu untuk periode 4bulan tapi pas dapat hasilnya katanya enggak boleh 4 bulan harus 12bulan otomatis saya harus bayar beberapa lembar yang enggak perlu.hrsnya dari awal dijelaskan jadi orang paham.kecewa sama layanannya,0
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"saya tukar uang, respon cepat dan baik, terimakasih mandiri",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"puas sekali dengan pelayanannya, staffnya cepat dan tanggap dalam membantu permasalahan saya, tempatnya juga bersih dan luas.",2
Bank Mandiri KCP Jakarta Pasar Baru,5,pria banget disini,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan bagus, csnya ramah menjelaskannya sangat detail",2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Pasar Baru,5,cs sangat ramah dan baik hati semuanya,2
Bank Mandiri KCP Jakarta Pasar Baru,5,saya sangat berkesan dengan cs pasar baru karena sangat cantik dan ramahramah,2
Bank Mandiri KCP Jakarta Pasar Baru,5,ramah pelayanan nya,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Pasar Baru,5,bagus,2
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya ramah dan tempatnya luas,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"terima kasih sudah memberikan pelayan yang terbaik, pelayanannya sangat ramah..",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya ramah,,humoris,, tempatnya luas & paling enak lah kalo transaksi cepat & mudah.",2
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,ramah2 semuanya.. dari satpam sampai tellernya,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya ramah, tempatnya bersih dan rapi",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan bagus, responsif, dan ramah.",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"bagus pelayanan nya cepat & ramah, tempatnya sangat luas ada masjidnya. pokoknya keren",2
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya cepat, ramah ramah dan ada masjidnya luas dan nyaman",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya bagus, ada masjidnya juga di dalam kantornyq",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya ramah, mulai dari customer service hingga teller yang selalu siap membantu dengan senyum. tempatnya juga luas dan sangat bersih, membuat proses transaksi jadi lebih nyaman.",2
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,cabangnya bersih pelayanan ok,2
Bank Mandiri KCP Jakarta Pasar Baru,5,walaupun ramai tapi pelayanannya menyenangkan,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayananya mantap, tempatnya luas dan bersih",2
Bank Mandiri KCP Jakarta Pasar Baru,5,mantap .pelayanan ramah.,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan bagus dan ramah baik teller maupun cso, tempatnya juga cukup luas, terima kasih",2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya sopan dan ramah.selalu tersenyum kepada nasabah pokoknya puas dengan pelayanan bank mandiri,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanannya ramah dan tempatnya luas,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanannya ramah, tempatnya luas",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan ramah, tempatnya nyaman",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"dekat dengan kantor saya.. tempat bersih , nyaman dan harum , untuk pelayanan saya sangat puas karena sangat ramah..",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan ramah beretika sangat sopan sekali , mantap the best pokoknya mah , pertahankan untuk pelayanan yang seperti ini , semangat",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan ramah dan cepat, ada masjid juga yang cukup luas",2
Bank Mandiri KCP Jakarta Pasar Baru,5,"ijin bertanya, bisa penukaran uang koin asing enggak yaa",2
Bank Mandiri KCP Jakarta Pasar Baru,1,"sangat kecewa, pelayanan buruk dan lambat.",0
Bank Mandiri KCP Jakarta Pasar Baru,5,terima kasih pak sudah memberikan pelayanan yang terbaik,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Pasar Baru,5,cs sangat membantu dan profesional dalam menyelesaikan permasalahan yang dihadapi. 10/5 direkomendasikan,2
Bank Mandiri KCP Jakarta Pasar Baru,5,"pelayanan yang baik juga, regards hangat.",2
Bank Mandiri KCP Jakarta Pasar Baru,5,layanan sangat baik,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Pasar Baru,5,pelayanan ramah,2
Bank Mandiri KCP Jakarta Pasar Baru,5,sangat puas dengan pelayanan yang diberikan.,2
