Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanan cepat dan ramah , sangat baik dan responsif. good banget lah kcp cengkareng",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanan di bank mandiri pasar cengkareng sangat memuaskan. petugasnya ramah, responsif serta proses administrasi berjalan cepat tanpa banyak hambatan. informasi yang diberikan mudah dipahami. pelayanan tellernya sangat baik",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah dibantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah dibantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih bu raras sudah bantu saya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,ramah sekali cs2nya terimakasih,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah dibantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih ya sudah bantu saya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasi sudah membantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih pelayanannya ramah sekali,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terima kasih sudah membantu kami membuat rekening mandiri tabunganmu. terutama kepada cs an poppy famela,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih cs nya sangat membantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah membantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih csnya membantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat terbantu sekali,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanan nya baguss, customer service nya ramah the bestt banget pokoknyaa",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,csnya ramah sangat membantu tidak dipersulit terimakasih,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,bagus pelayanannya terima kasih,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih csnya baik sudah membantu saya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,trimkasih sudah membantu saya dan anak saya dalam pembukaan rekening proses mudah deh cepat,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,kakak c's nya baik baik,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah membantu,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat membantu terima kasih,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,terimakasih sudah bantu pencairan bantuan saya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,trimksh mandiri bank,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,teerimakasih sudah membantu pembukaan rekening saya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,saya buka tab sangat mudah dan pelayanan ramah,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanannya oke, tempatnya rapi bersih. good!!",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,proses pembukaan rekening baru cepat dan mudah. pegawainya ramah,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,pelayanan bagus dan memuaskan,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,pelayanan yang baik dan staf yang ramah,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"tempatnya adem, pegawainya sigap dan ramah, mau proses transaksi apapun enggak dipersulit, terima kasih team bank mandiri cengkareng",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"cabangnya bersih palayanannya cepat karyawannya sopan"" terimakasih",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanannya baik, untuk mengajukan kredit mudah",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat bagus,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"pelayanannya bagus ,orang orangnya pun ramah",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat baik sekali pelayanan nya,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangatlah baik dan bisa terjangkau dalam pelayanan yang sangat baik juga,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"frontlinernya murah senyum,, security ramah",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,"csnya baik banget sudah mau bantu untuk perbaiki livin saya, terima kasih",2
Bank Mandiri KCP Jakarta Pasar Cengkareng,1,"pelayanan yang planga plongo mengurus kartu atm yang tertelan di mesin atm harus lengkapi berkas berkas dari dukcapil,rt,rw tempat tinggal ribet nya meminta ampun",0
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,ramah,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,ruangan csnya dingin banget,2
Bank Mandiri KCP Jakarta Pasar Cengkareng,5,csnya sangat membantu terima kasih,2
