Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,security nya baik hati,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanannya sangat cepat, teller dan cs nya ramah ramah",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,2,"cukup untuk bintang 2 sesuai sama pelayanannya, baru di selak konsumen lain dengan pak security yang meminta tanpa ada penjelasan yang logis . kapok ah cari bank mandiri lean saja",0
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanan nya sangat baik, informasi yang diberikan sangat membantu dan mudah di pahami",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,pelayanan baik pegawainyaramah dan helpfull bgt,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanannya ramah,teller baik dan responsif",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,pelayanan sangat ramah baik dan sangat super cepat,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"teller dan cs nya cantik cantik, pelayanannya juga cepat",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanannya cepat dan baik, securitynya lucu",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,pelayanan nya maximal.. karyawan nya baik & ramah,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanan ramah, antriannya tertib, ruangannya bersih rapih, helpfull mantap mandiri kcp jakarta psr induk kramat djati.",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"setiap hari setoran disini, orang2'a asik2, welcome. apalagi sekurity'a, ramah dan lucu, suka becanda. jadi bikin nyaman. setoran di sini. pelayanan'a cepat, dan teliti. trimakasih mandiri pasar induk.",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"pelayanan fa axa mandiri kramatjati pasar induk mantap, cepat, dan solusi asuransi terbaik. terimakasih",2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,pelayanananya ok security juga ramah dan asik,2
Bank Mandiri KCP Jakarta Pasar Induk Kramatjati,5,"letaknya yang berada di dalam pasar mungkin terbilang sulit untuk menemukannya dari map. tapi pelayanannya yang ramah, baik dari satpam maupun teller, memberikan kenyamanan untuk bertransaksi di sini. keren!",2
