Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,"pelayanan baik, ramah dan cepat .",2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat membantu pelayannya juga ramah tamah trimakasih,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,terkhusus kakak' wenny the best dah.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,ajib.pelayanansesuai sop bnt dan rama ramah orangny,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,"pelayanannya cepat, ramah",2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,"pelayanan nya cepat dan baik,cs nya ramah, riangannya bersih, security nya ramah",2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,terima kasih bantuannya,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,"dareng buat buat tabungan mandiri baru di jam 9 pagi dan pelanyanannya sangat sat set, pegawai ramah dan satpamnya pun ramah. sedikit saran mungkin pegawai yang ada di belakang kalo mengobrol dan ketawa lebih di kecilin lagi volumenya karena kedengaran sampai depan dan berisik.",2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,pegawai nya friendly,2
Bank Mandiri KCP Jakarta Pasar Meruya Kembangan,5,sangat puas dengan pelayanan yang diberikan.,2
