Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,1,"pelayanan teller di cabang ini sangat mengecewakan. kurang ramah, tidak responsif, dan tidak memberikan penjelasan yang memadai. semoga manajemen bisa segera melakukan perbaikan.",0
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,cepat dan ramah,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,good service,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,cepat dan ramah,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,terima kasih kepada teller puri puspa rani yang telah melayani dengan ramah dan profesional 148 .,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,"pelayanannya baik, ramah, cepat",2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,"pelayananya ramah ,cepan terumakasih",2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,penyayannya raamah dan membantu,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Mester Jatinegara,5,sangat puas dengan pelayanan yang diberikan.,2
