Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,terbaik cabang pasar pagi lama,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"tempatnya nyaman, pegawainya ramah dan cepat",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pegawainya ramah dan baik,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanannya bagus apalagi sama kak anintia,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanan terbaik yang saya alami dari mulai sambutan awal security hingga proses akhir yang sangat mengesankan.. terimakasih bank mandiri pasar pagi lama atas pelayanannya.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanannya sangat baik,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,ada kuota kur 2025 bank mandiri pasar pagi lama,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,semuanya kelas,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"pelayanan bagus, solutif dan ramah. sukses buat mandiri.",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanan baik dan cepat . pegawai ramah the best lah pokoknya.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"tempatnya nyaman, orang orangnya baik dari mulai security yang menyapa kedatangan, cs yang ramah dan membantu, juga teller yang cepat",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"pelayanannya bagus, semua pegawainya ramah. sukses selaluu",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"securitynya menyambut dengan baik, cs nya banyak memberi informasi yang jelas dan akurat serta sangat membantu dalam penyelesaian masalah, tellernya juga sangat ramah dan menyenangkan, terima kasih bank mandiri pasar pagi lama",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,sekuritynya ramah cs nya juga. pelayannanya cepat dan tidak antri. mantap,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanannya gercep. thx bank mandiri,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,pelayanannya bagus cepat lagi,2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,"pegawainya ramah ramah,pelayanannya cepat",2
Bank Mandiri KCP Jakarta Pasar Pagi Lama,5,layanan yang baik.,2
