Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Rumput,5,pegawainya ramah dan cabangnya nyaman.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanan oke.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanannya oke.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,cepat dan stafnya charming,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,security-nya ramah dan membantu dengan baik,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,karyawan ramah,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"pelayanan baik, ramah dan cepat",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"pelayanannya pegawainya cepat dan ramah, cabang nya bersih",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanan ramah sekali. tukar uang baru sangat mudah enggak ribet,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanannya cepat dan ramah,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"suka banget sama mas mas teller yang cowo. ramah bngt, kalo mengomong enggak kaku dan enggak terlalu formal tapi kesannya ramah, dan jelas apa yang di sampaikan. jadi asik begitu kalo mau bertanya apa nyaman. tapi sekuriti nya kurang, memang cuma sekuriti baca yang paling best :)",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"pelayanannya sangat baik, dan cepat",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"pelayanannya ramah, waktu itu transaksi disini sama teller mas amirul baik bgt, ter-arah dan selalu didampingi dengan baik. best",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,"teller bernama arul ramah banget, cepat tanggap, dan murah senyum. bintang 5 buat cabang top.",2
Bank Mandiri KCP Jakarta Pasar Rumput,5,stabil,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,staf ramah dan membantu nasabah,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanan cepat dan tanggap good jobs,2
Bank Mandiri KCP Jakarta Pasar Rumput,5,pelayanan cabang sangat ramah dan cepat,2
Bank Mandiri KCP Jakarta Pasar Rumput,1,the worst,0
Bank Mandiri KCP Jakarta Pasar Rumput,5,terima kasih mbak farah lansung di layani detail untik seticap pertanyaa saya dan di bantu unmbuatan tabungan berencana. lancar rejekinya mba.,2
Bank Mandiri KCP Jakarta Pasar Rumput,1,teler nya lamaa banget sumpah .,0
Bank Mandiri KCP Jakarta Pasar Rumput,5,"suhu di ruangan sedikit panas tapi ada kipas anginnya. but pelayanannya mantul, security dan cs nya ramah2. terimakasih, tetap pertahankan pelayanan baiknya",2
