Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,pelayanannya sangat baik..,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,top banget pelayanan nya,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,pelayanan nya bagus karena memberikan informasi dengan jelas. pelayananny ramah,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,pelayanan the best,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,pelayanan cs nya ramah dan cepat,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,enaknya pelayanan,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,cs dan teller bagus good,2
Bank Mandiri KCP Jakarta Pasar Sumur Batu,1,"pelayanan sangat buruk sampai kita foto pun, sekuriti nya sangat melarang enggak boleh",0
Bank Mandiri KCP Jakarta Pasar Sumur Batu,5,pelayanan yang bagus banget,2
