Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pejagalan,5,"mulai dari security lalu ke cs dan teller, semua pelayanannya bagus dan ramah, dan saya bertemu marketing untuk bertanya perihal kredit usaha dilayani dan dijawab dengan baik, saya pasti akan mengajukan disini bila sedang membutuhkan, terimakasih",2
Bank Mandiri KCP Jakarta Pejagalan,5,terimkasih atas pelayanan mandiri yang sangat ramah,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan ramah dan baik baik,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanannya baik dan sopan, terutama security enggak lihat namanya siapa, juga mbak tania yang bantu saya sangat baik menjelaskan dengan sabar, terima kasih mandiri pejagalan!",2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,terima kasih kepada pejabat bank independen atas kerja baiknya.,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,terima kasih pelayanannya karyawan bank mandiri pejagalan,2
Bank Mandiri KCP Jakarta Pejagalan,5,pegawai nya ramah ramah dan oke oke terimakasih banyak,2
Bank Mandiri KCP Jakarta Pejagalan,5,mantap securitynya jos gandos,2
Bank Mandiri KCP Jakarta Pejagalan,5,"security nya ramah, baik dan sopan cs dan teller nya juga kerja gercep dan ramah . sukses selalu kenapa mandiri jakarta pejagalan",2
Bank Mandiri KCP Jakarta Pejagalan,5,tempatnya nyaman dan sejuk pelayanan sangat baik sekali security selalu membantu dan melayani nasabah,2
Bank Mandiri KCP Jakarta Pejagalan,5,pegawai nya ramah ramah,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan nya nyaman. security ramah dalam mengarahkan. tempat nya wangi dan bersih.,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,"terimakasih atas pelayanan di cabang pejagalan yang sangat baik untuk antrian teller dan cs cepat tidak arus menunggu lama, security sangat membantu memberikan informasi ke nasabah joss pokoknya",2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan mantap,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanannya sangat bagus dan top,2
Bank Mandiri KCP Jakarta Pejagalan,5,"terimakasih atas pelayanannya satpamnya ramah, cekatan dan murah senyum juga pegawainya mantap.. lanjutken jangan sampai kendor.",2
Bank Mandiri KCP Jakarta Pejagalan,5,terimakasih atas pelayanan nya sangat amat membantu sukses terus untuk mandiri,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanannya sangat membantu,2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan nya baik, satpamnya ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan cepat tanggap, satpam ramah dan sangat membantu",2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan yang baik, satpamnya ramah2 dan sangat membantu",2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan nya bagus. transaksi apapun bikin nyaman tempat nya harum bersih, pelayanan nya sangat mantap cs teller, security",2
Bank Mandiri KCP Jakarta Pejagalan,5,- security ramah - parkir gratis itu point pentingnya - cs ramah dan solutif,2
Bank Mandiri KCP Jakarta Pejagalan,5,sempurna,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan nya sangat bagus,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,terimakasih atas pelayanan nya yang sangat membantu trimaksih bank mandrii,2
Bank Mandiri KCP Jakarta Pejagalan,5,"best service , ramah , cepat , baik teller ataupun securitynya , semoga sehat selalu dan konsisten",2
Bank Mandiri KCP Jakarta Pejagalan,5,jam seginih masih buka enggak pak/bu,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan baik dan ramah,2
Bank Mandiri KCP Jakarta Pejagalan,5,saya .sangat berterimakasih atas pelayanan yang sampai los waktu dan keramahan semua pegawai nya,2
Bank Mandiri KCP Jakarta Pejagalan,5,ok pelayanan mantap cepat dan baik ramah sukses selalu untuk mandiri cabang ketapang.,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanan mantap scurity terbak gerakanya tekan tap tap tap,2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanannya mantap securitynya ramah n tanggap,2
Bank Mandiri KCP Jakarta Pejagalan,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan ramah, cepat dan akurat",2
Bank Mandiri KCP Jakarta Pejagalan,5,pelayanannya oke banget,2
Bank Mandiri KCP Jakarta Pejagalan,5,"service cepat dan ramah , parkir luas dan aman",2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan sangat baik, ramah, dan cekatan",2
Bank Mandiri KCP Jakarta Pejagalan,5,"pelayanan ramah dan sat set, tempatnya bersih dan wangi, dari satpam, cs, hingga teller sangat melayani dengan baik. top pokoknya maju terus kcp pejagalan",2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pejagalan,5,good,2
Bank Mandiri KCP Jakarta Pejagalan,5,"karyawannya ramah"" murah senyum semua.termasuk sekuritynya mantap",2
Bank Mandiri KCP Jakarta Pejagalan,5,karyawan ramah semua,2
Bank Mandiri KCP Jakarta Pejagalan,5,sangat puas dengan pelayanan yang diberikan.,2
