Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pelindo Tower,5,mantap,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,cabang bersih dan bagus,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,cabang terbaik. the best,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,palayanan yang tasus teller nya,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,prosess cepat,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,"cabang bersih, dan wangi",2
Bank Mandiri KCP Jakarta Pelindo Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,"cabang bersih, pelayanan cepat, ramah.",2
Bank Mandiri KCP Jakarta Pelindo Tower,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,keren..bagus,2
Bank Mandiri KCP Jakarta Pelindo Tower,5,tempatnya nyaman dan bersih. ada coffee cornernya juga. berasa di rumah sendiri. next mau datang lagi.,2
