Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanannya mantap,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan bagus,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,staffnya ramah dan baik.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"bagus lho ges, ayo kesini saja",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,good,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,jumlah kursi tunggunya kurang,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sudah puas pelayananya,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,teller nya baik dan ramah terimakasih mba,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya cepat, penjelasannya jelas",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,staf stafnya ramah dan helpful banget,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,mantap,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanan ramah, sabar, dibantu step by step, sehingga proses menjadi cepat.",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya ramah, dan dekat kantor!",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,alhmadulillah lancar dan aman,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanannya baik dan bagus,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanan memuaskan, petugas nya ramah tamah serta membantu nasabah nya, gedung nya bersih",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat melayani,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya cepat, pegawainya ramah dan informatif",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanan terbaik, cepat, ramah dan rajin menabung",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanan bagus, mudah, dan cepat",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,best fast mantap,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya baik, ramah dan cekatan",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"senyum, sapa,salam.ramah.respon cepat",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanan nya baik dan ramah, dan temptnya juga bersihh",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"best, cepat",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan di bank mandiri sangat memuaskan! cs-nya ramah dan proses transaksi cepat. saya juga suka dengan fitur mobile banking-nya yang lengkap dan mudah digunakan. mantap!,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya cepat dan ramah, god",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"pelayanannya ramah, tellernya juga cantik dan ramah, sangat membantu, good job!!",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan baik dan cepat,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan pegawainya sangat baik dan memuaskan,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,terbaik pelayanannya the best,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanannya sangat baik dan cepat,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,top,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,alhamdulillah,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,untuk pelayanan bagus,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,mantap bagus joz,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,good banget pelayanannyaa,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"solutif, cepat, ramah dan best teller best security best bu ema",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan cepat dan ramah,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanannya cepat dan pegawainya ramah,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan sangat bagus nyaman dan bagus,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan bagus dan menyenangkan,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,bintang yang bicara,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"cs ramah banget dah ah, ..",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,keren pelayanannya cssnya..,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"layanan pelanggan, teller dan keamanan yang ramah dan sangat membantu .",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanaynya bagus,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanan baik dan ramah.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,pelayanannya baik dan ramah,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,service dan pelayanan bagus tetap dipertahankan,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,mantap,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,"cs handal, transaksi nya cepat,, sukses terus",2
Bank Mandiri KCP Jakarta Percetakan Negara,5,cs dan teller handal,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,ramah dan cepat,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Percetakan Negara,5,sangat puas dengan pelayanan yang diberikan.,2
