Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Permata Hijau,5,pelayanan cepat dan sangat memuaskan,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,"ruangan nya nyaman dan bersih, pelayanan baik, ramah, cepat dan memuaskan.",2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sukses ya,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,5,good,2
Bank Mandiri KCP Jakarta Permata Hijau,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Hijau,1,"senin 05/08/2024 jam 12.00 cs2 pelayanan tidak ramah, tidak memberikan opsi mengucapkan kata ""terserah"", request buka blokir tapi malah dibuatkan buka rekening baru tanpa memberitahu, dalam sesi pelayanan malah mengobrol dengan temannya!",0
