Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,1,"sudah enggak ada di komplek ini, saya cari muter muter dan tanya security, enggak ada permata bank di permata kota, cuman ada baca dan mandiri",0
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,ramah dan baik pelayanannya bagus dan baik,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,pelayanan nya sangat baik saya suka terima kasih,2
Bank Mandiri KCP Jakarta Permata Kota,5,biar membangun lagi tolong tambahkan teller nya bos,2
Bank Mandiri KCP Jakarta Permata Kota,5,terima kasih mandiri sudah mempermudah,2
Bank Mandiri KCP Jakarta Permata Kota,5,untuk pelayanannya oke,2
Bank Mandiri KCP Jakarta Permata Kota,5,good,2
Bank Mandiri KCP Jakarta Permata Kota,5,"sangat terbantu dengan cs bu efi, cabang nya strategis bersih dan pelayanan nya sangat bagus",2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,pelayanan sangat ramah dan memuaskan,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sering mengasih slip setoran,2
Bank Mandiri KCP Jakarta Permata Kota,5,terima kasih banget buat sudah bantuu memperbaiki bank kartu saya terima kasih banget,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,"customer service, teller dan securitynya ramah2, pelayanan cepat",2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,terima kasih mandiri cabang permata kota,2
Bank Mandiri KCP Jakarta Permata Kota,5,layanan pelanggan ramah sopan macasih,2
Bank Mandiri KCP Jakarta Permata Kota,5,"petugasnya ramah dan baik, pelayanan cukup memuaskan",2
Bank Mandiri KCP Jakarta Permata Kota,5,"cabangnya bersih, pelayanan bagus, csnya baik dan handal..",2
Bank Mandiri KCP Jakarta Permata Kota,5,"pelayanan cs nya memuaskan, tidak antri lama. cabangnya bersih..",2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Kota,5,sangat puas dengan pelayanan yang diberikan.,2
