Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,service teller dan cs nya baik,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat membantu,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayanan mantap dan cepat,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,good,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayan nya oke,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,"keren pelayanan nya, buka rekening online sangat cepat, mantul",2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,"posisi antrian ramai, saya mau ganti kartu,trus saya aga malas buat nganteri, sama security nya di arahin untuk ganti kartu lewat livin, dan kartu nya di antar kerumah, ternyata semudah itu ganti kartu,emang terbaik. jadi saya enggak usah capek capek ngantri. cukup menunggu di rumah saja,sangat membantu banget mantap",2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,keren pelayananan nya,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,mantap,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,cepat rapi dan ramah pelayanannya,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayanannya ramah dan baik. terima kasih,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,mantap,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,terimakasih banyak teller yang baik hati sudah membantu,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,mantap cepat proses nya cetak kartu,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,bagus untuk pelayanannya,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,1,"sudah jelas-jelas tulisan di google peta nya buka, dan saya kesitu malah tutup, sebenarnya saya biasa jha walaupun tutup, tapi yang bikin saya berkomentar ini, tanggapan di pihak keamanan yang jaga digi tanggal 30 mei 2025 bikina kesal, .",0
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayananan yang baik,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayanan nya cepat dan ramah,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,terima kasih atas pelayanan bank mandiri ujung menteng bagus mantap,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,ramah semua,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,layanan yang bagus.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,penyayannya oke..sidak perlu memesan buat penarikan yang lebih di atas 100 *,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,di permudah dalam penarikan uang,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,"datang kesini pas agak lumayan rame, menunggu 1 jam buat transaksi di teller. lumayan makan waktu buat yang buru2, pas sudah sampai teller harus konfirmasi ke cabang bersangkutan kalau mau transaksi besar. tapi untungnya tetap dibantu karena baru",2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,cabang yang berguna.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,good pelayanan. mbak nya ramah banget,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,pelayanannya baik dan lancar,2
Bank Mandiri KCP Jakarta Permata Ujung Menteng,5,"pelayanan bagus, proses mudah, cepat",2
