Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pertamina DPKK,5,satpam & cs ramah,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,mantap pelayanan nya di mandiri pertamina,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayanan ramah. dilayani dengan baik oleh cs rini dan nadya. penjelasannya sangat membantu,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"alhamdulillah. banyak terbantu, staff yang friendly, edukasi berbagai macam produk mandiri. terima kasih bu rini hosanna",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanannya okee, tellernya juga sangat ramah",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,good service,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan ramah, sangat mempermudah layanan",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayannan bagus .dan mudag,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan cepat walaupun dalam bulan ramadhan dan waktu mepet solat jumat, recomended",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan sangan baik dan cekatan, para karyawan dan bapak satpamnya juga ramah",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanannya sangat baik, luar biasa",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan nya sangat baik, cekatan, dan para karyawan serta bapak satpamnya ramah",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayanan bagus. terima kasih mandiri,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sat set. cepat pengurusan atm saya yang bermasalah. thanks ya,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,staff dan ob responsif. mantap,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat baik pelayanannya,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"sangat membantu dan ramah dalam pelayanan, terimakasih.",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayanan bank mandiri bagus sekali dan ramah.thanks ya,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,ramah sekali,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan baik, cs nya sangat membantu urusan aku",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"suasana nyaman, pelayanan cepat, teller walau kelihatan masih baru tapi ramah dan memuaskan",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"teller ramah, saya dilayani dengan baik dan cepat",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanannya bagus,petugasnya ramah,",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"tempatnya bersih, pelayanannya ramah, sangat membantu untuk transaksi dan membuat rekening disini",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"ramah staf, pelayan oke",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan bagus, teller ramah",2
Bank Mandiri KCP Jakarta Pertamina DPKK,3,"pengalaman biasa saja, tidak terlalu buruk tapi juga tidak istimewa.",1
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"baka pelayanan, ramah rama",2
Bank Mandiri KCP Jakarta Pertamina DPKK,2,"nyetak buku tabungan paling lama, enggak gercep. kebanyakan hahahihi.. jual jasa kok nasabah berasa kayak ngadepin majikan.. customer engagement nya minim",0
Bank Mandiri KCP Jakarta Pertamina DPKK,5,nyaman dan ramah,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,teller nya ramah dan suasana bank nya bersih,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,pelayanan nya super cepat dan di layananin dengan baik,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,"pelayanan mantapp, karyawan nya ramah.security membantu saya transaksi di atm..sukses buat cabang ini.",2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,tellernya ramah tamas pelayan good,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pertamina DPKK,5,dilayani dengan baik dan selalu diberikan senyuman ramah tamah yang tak terhingga,2
