Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanan ramah,cepat,tanggap",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanan disini bagus, customer service nya juga ramah, top deh",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,bagus pelayannanya cepat,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"bagus, cepet, tepat",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"layanan pelanggan yang luar biasa, simpan saja.",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"sangat-sangat terbantu dengan layanan bank mandiri perumnas klender ,, dan karyawannya ramah banget ,, terimakasih bank mandiri perumnas klender",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan sangat baik terima kasih,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,terimakasih cs sangat membantu,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,tmptnya bagus dan ramah ramah,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"ok .. bun wendy cs nya baik , helpful .. terimakasih",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,cs nya ramah dan jls menerangkan nya,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanan nya bagus, staf sama satpam nya ramah, dan sangat membantu",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,keren cs nya,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanan prima, bagus dan cepat",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,terima kasih sudah sangat membantu saya. mbangking saya bisa aktif kembali,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanannya ramah dan jika ada kesulitan pasti dibantu,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanann bagus banget,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan bagus untuk bank ini mantap maju terus mandiri ku,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanannya okee, thank lu !",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,good,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,good,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,terima kasih. cs cepat dan ramah,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanannya sangat bagus.. maju terus bank mandiri,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,terimah kasisuda terbantu,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan nya ramah dan bagus,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"senang sekali, ramah",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan ramah dan kesulitan apapun di bantu/ terselesaikan semoga lebih berkenglagi dan sukses,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanannya sangat memuaskan, staff dan cs menerangkan sangat detail",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanannya cepat, pegawainya ramah"" dan dalam memberikan keterangan sangat lengkap.",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat terbantu,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,belum ada notif atm di google maps,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,mantap bagus pelayanan nya.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,bagus bersih,2
Bank Mandiri KCP Jakarta Perumnas Klender,1,seles marketing nya kurang profesional dan slow respon sekali,0
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan nya sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat baik sekali pelayanannya.,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,terma kasih pelayanannya ramah,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan nya sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat baik dalam pelayanan,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,baik ramah,2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumnas Klender,1,jam 08.02 belum buka dong! bagaimana sih?,0
Bank Mandiri KCP Jakarta Perumnas Klender,5,"pelayanannya memuaskan, teller sangat ramah",2
Bank Mandiri KCP Jakarta Perumnas Klender,5,sangat puas dengan pelayanan yang diberikan.,2
