Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"pelayanan ramah, semua petugas dari security, teller, dan customer service nya cepat tanggap serta detail menjelaskan permasalahan dan juga produk dari bank mandiri",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan cepat & ramah,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,cabangnya bersih pegawai ramah.. pelayanan cepat terima kasih ya,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan sangat memuaskan terima kasih mbak cita sudah dibantu buka rekening,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,mantap,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,cs nya ramah dan memberikan solusi,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"pelayanannya cepat, cs nya ramah",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan sangat ramah sangat bantu saya,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan cepat,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan ramah dan cepat enggak harus antri lama,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"pelayanan cepat dari security cs teller tempat nya nyaman dan ramah terimakasih sukses cabang perumpel,mantap",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,banking staff nya ramah sangat membantu saya buka rekening terima kasih mbak cita sudah di bantu,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan cepat dan solutif,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,ok mantab,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan yang sangat baik dan cepat dilayani,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,layanan bagus ramah,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan sangat baik,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"terimakasih untuk pelayanan nya cepat dan ramah ramah mulai dari awal masuk sampai cs teller,terbaik",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan cukup bagus,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,terima kasih atas pelayananya yang cepat dan ramah dari cs mbak miki,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanannya bagus. semuanya ramah2 terima kasih,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"pelayanan nya ramah mbak nya baik-baik terimksh mbak miki, mbak tri dan mandiri",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanannya ramah dan cepat dengan cs ibu miki,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanan nya cepat dan sangat membantu,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,"pelayanan memuaskan semua pegawai ramah ,melayani dengan baik,makasih.",2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,latanyanya enggak pakai lama.ok banget,2
Bank Mandiri KCP Jakarta Perumpel Tanjungpriok,5,pelayanannya cepat,2
