Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,ok,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,"sangat membantu, layanan besar, pekerjaan yang baik bank mandiri ..",2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,"cs nya ok, service ok. cs nya menawari produk ini itu yang tadinya enggak kepikiran jadi pengin menambah lagi. semoga mandiri nya tetap konsisten",2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,1,mau buka rekening tapi bukan domisili disini tidak boleh. padahal ktp itu kan sudah ngelink diseluruh indonesia beda banget sama baca yang bisa buka rek tanpa surat domisili,0
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,ningrat pelayan,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,ramah,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanan customer service ramah dan sangat membantu. sukses kcp pesanggrahan raya,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanannya oke,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,service yang jempol,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanan ramah sangat membantu,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,"pelayanan cepat , teller ramah",2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanan mbak resty cahya febryani ramah dan informatif,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,wahid adalah nain .,2
Bank Mandiri KCP Jakarta Pesanggrahan Raya,5,pelayanannya sangat baik,2
