Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,1,"saya datang unsuk mengurus pergantian atm kartu hlang. saya sudah lama membawa ktp asli dan buku tabungan, tapi security ngottot nggoot harus dulu laporan kehilangan darian kepa saya kesih kesemempatan untutan layanan pelanggan.",0
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,rama layan,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,thx,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,pelayanan mas lana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,ramah keamanan,2
Bank Mandiri KCP Jakarta Petukangan,5,cs humble,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,trmksh mandiri,2
Bank Mandiri KCP Jakarta Petukangan,5,pelayanannya ramah banget,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,cs baik,2
Bank Mandiri KCP Jakarta Petukangan,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Petukangan,5,ramah keamanan,2
Bank Mandiri KCP Jakarta Petukangan,5,terimakasih mandiri petukangan,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Petukangan,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,terimakasih mandiri petukangan,2
Bank Mandiri KCP Jakarta Petukangan,5,parkiran luas,2
Bank Mandiri KCP Jakarta Petukangan,5,layanan cs ok,2
Bank Mandiri KCP Jakarta Petukangan,5,terimakasih,2
Bank Mandiri KCP Jakarta Petukangan,5,cs mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,cs ramah-rama,2
Bank Mandiri KCP Jakarta Petukangan,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Petukangan,5,tempat man,2
Bank Mandiri KCP Jakarta Petukangan,5,cs pelayanah,2
Bank Mandiri KCP Jakarta Petukangan,5,mantap cepat banget cs nya,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,pelayanan nya ramah mantap,2
Bank Mandiri KCP Jakarta Petukangan,5,atm dan livin sudah beres dibantu cs 02. alhamdulilah,2
Bank Mandiri KCP Jakarta Petukangan,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Petukangan,5,terimakasih mas ferry sudah dibantu buka rekening dan mbnking nya,2
Bank Mandiri KCP Jakarta Petukangan,5,nyaman,2
Bank Mandiri KCP Jakarta Petukangan,5,terdekat dari rumah man dan dinin banget,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maul ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,layan ok,2
Bank Mandiri KCP Jakarta Petukangan,1,ampas mau nukar uang rusak menarik di atm mandiri diarahkan ke bank cabang lain sama securitynya.,0
Bank Mandiri KCP Jakarta Petukangan,5,ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,"pelayanannya baik, terutama dengan dengan cs mas maulana. baik, sopan, membantu.",2
Bank Mandiri KCP Jakarta Petukangan,5,mantap mandiri petukangan,2
Bank Mandiri KCP Jakarta Petukangan,5,layanan ok,2
Bank Mandiri KCP Jakarta Petukangan,5,petugas ramah2,2
Bank Mandiri KCP Jakarta Petukangan,5,mas maulana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,layan ok,2
Bank Mandiri KCP Jakarta Petukangan,5,mas lana murah senyum,2
Bank Mandiri KCP Jakarta Petukangan,5,ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,pelayanan mas mana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,terimakasih mas ferry sudah dibantu buka rekening sampai beres semua,2
Bank Mandiri KCP Jakarta Petukangan,5,ruangan bersih,2
Bank Mandiri KCP Jakarta Petukangan,5,mas lana ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,layanan ok,2
Bank Mandiri KCP Jakarta Petukangan,5,terima kasih mas lana sudah membantu,2
Bank Mandiri KCP Jakarta Petukangan,5,"terima kasih mandiri petukangan..dilayanin dan di bantu sangat oleh pak maulana..ramah, informatif dan sergap dalam membantu..",2
Bank Mandiri KCP Jakarta Petukangan,5,layanan cepat dan mudah trmksh,2
Bank Mandiri KCP Jakarta Petukangan,5,ramah,2
Bank Mandiri KCP Jakarta Petukangan,5,"terimakasib mandiri petukangan & mas stepanus sudah dibantu buka rekening dan dapat livinnya. mantapp,",2
Bank Mandiri KCP Jakarta Petukangan,5,"pelayanannya ramah, baik",2
Bank Mandiri KCP Jakarta Petukangan,3,"pelayanan ramah, tapi antri untuk setor transfer kurangnya teller jadi antri lebih lama",1
Bank Mandiri KCP Jakarta Petukangan,5,csnya rendah hati,2
Bank Mandiri KCP Jakarta Petukangan,5,parkiran luas,2
Bank Mandiri KCP Jakarta Petukangan,5,satpam oke,2
