Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan nya ramah dan cepat. cs dan security nya,2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan cs cepat dan ramah. antrian banyak tapi cepat layaninnya,2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanannya cepat pegawai nya ramah.security the best,2
Bank Mandiri KCP Jakarta Pinangsia,5,cs nya membantu sekali dan proses pengambilan bsu cepat di cabang ini. pelayanan top,2
Bank Mandiri KCP Jakarta Pinangsia,5,bagus ramah sopan wangi.sopan.baik,2
Bank Mandiri KCP Jakarta Pinangsia,5,bagus ramah sopan. rapih.,2
Bank Mandiri KCP Jakarta Pinangsia,5,"pelayanan baik, proses dibantu dengan sabar",2
Bank Mandiri KCP Jakarta Pinangsia,5,"tempat nyaman, pelayanan bagus",2
Bank Mandiri KCP Jakarta Pinangsia,5,"tempat nyaman dan strategis, petugas ramah",2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan memuaskan dan tempat nyaman,2
Bank Mandiri KCP Jakarta Pinangsia,5,bagus pelayanannya cepat & ramah,2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan ramah dan bagus,2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan para staff bank mandiri jakarta pinangsia ramah tamah banget . dari security teller cs helpfull. jadi nyaman berbank di bank mandiri.,2
Bank Mandiri KCP Jakarta Pinangsia,5,pelayanan ramah staff disini juga murah senyum semua deh sayang saja tempatnya rada jauh dari saya pokok nya mantap kang tidak kecewa ke cabang mandiri yang ini,2
Bank Mandiri KCP Jakarta Pinangsia,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pinangsia,3,baru di depan nanya2 ke satpam nya cuek banget sambil main hp tlng ya pihak mandiri satpam nya di training lagi sesuai sop,1
Bank Mandiri KCP Jakarta Pinangsia,5,sangat puas dengan pelayanan yang diberikan.,2
