Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,kerjanya cepat ok baik hati ramah semuanya dan lebih tingkatkan lagi,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,"cs nya baik hati , pelayanan ramah",2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,cs nya ramah dan helpfull,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanannya cepat dan cs nya ramah serta memberikan solusi yang baik untuk kebutuhan perbankan saya. terimakasih bank mandiri plaza kramat jati indah.,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,1,pelayanan cs nya payah,0
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,"pelayanan prima, pengalaman terbaik dengan semua staf bank mandiri plaza kji.",2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanan sangat baik dan ramah,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanan sangat paripurna,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,salah satu bank dengan pelayanan paripurna,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,"bank mengagumkan terutama dengan layanan bank teller, membantu penuh",2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,3,"pelayanan ramah.. jam 8 belum buka, petugas belum siap.",1
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanan nya sangat baik dan penjelasan nya mudah dipahami,2
Bank Mandiri KCP Jakarta Plaza Kramatjati Indah,5,pelayanannya amat sangat menyenangkan dijelaskan secara rinci dan jelas serta dengan amat sangat ramah kak liya menjelaskannya sehingga nasabah tidak sungkan jika bertanya.,2
