Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,selalu siap membantu kebutuhan nasabah,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,bersih dan rapi,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,"cabang setiabudi, pelayanannya ramah dan cekatan.",2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,pelayananya bagus,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,"staff dan scurityny ramah2, dan ada fa nya juga",2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,"staffnya ramah ramah, cekatan dan tempatnya sangat bersih",2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,mantap ramah keamanan,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plaza Setiabudi,5,"layanannya sangat memuaskan, karyawannya juga ramah",2
