Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pluit Kencana,5,layan layanan nya ok,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan yang baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"terimakasih semua personilnya, semuanya baik dan ramah ramah pokok nya",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanan baik, the best buat semua personilnya sangat ramah",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"semua staff yang terlibat di dalamnya sangat supportif dan ramah, saya sangat terbantu sekali, terimakasih bank mandiri jakarta pluit kencana",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"staffnya ramah , servicenya bagus dan memberikan informasi yang jelas. good job",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pengalaman bagus, staf yang bagus.",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"servicenya bagus, staff sangat ramah dan detail. segala informasi promo dijelaskan dengan baik",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"staffnya ramah, pelayanan bagus dan bersih..",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanan baik, kinerja karyawan semangat, insya allah amanah ya. satu lagi marketingnya sangat bibit unggulan dalam suatu gebrakan, t o p deh",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"jujur saja, aku belum mengunjungi cabang ini, tapi aku punya teman yang bekerja di sini.",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanan petugasnya oke banget. mulai dari satpam, cs, sampai tellernya ramah-ramah dan kerjanya juga efisien. terima kasih banyak ya",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,tempat nyaman layanan aman,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanannya super ok.. staf ramah semua,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"tempatnya bersih, pelayannya ramah, satpam nya ramah",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"parkir aman dan nyaman, untuk lokasi juga strategis",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,tempat nya bersih satpam nya ramah2 sangat membantu sekali terimakasih !,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,adem,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"baik, pelayanan nya bagus",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"tempatnya strategis pelayanan cepat dan ramah, security tanggap",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,cabangnya bersih pelayanannya ramah dan cepat security sigap,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,cabangnya bersih pelayanan cepat security-nya ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanannya ramah tempatnya nyaman,secuity ramah",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanannya ramah cepat, ruangan bersih dan rapi parkir luass",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"mantap , pelayanannya",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanannya,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,cabang bersih nyaman pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan nya baik dan cepat,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya bersih dan nyaman,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,keamanan sopan cekatan . dan pelayanan ok mantap,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,rama pelayanan,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,playanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,mantap atas,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terkeren,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,good,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"tempatnya nyaman dan pelayanannya oke banget selalu membantu secara maksimal,ga bosan untuk transaksi disini terima kasih",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan ramah memuaskan,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanannya ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelanyanan nya ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan nya sangat memuaskan tempat nya bersih nyaman.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"satpam profesional, pelayanan baik",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan selalu bisa di andalkan,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan nya bagus,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,cabang bersih dan nyaman pelayanan juga cepat dan ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya bersih dan nyaman,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik cabangnya the best,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanan bagus ramah, pertahankan pelayanannya ya",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,terbaik,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,good,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,"pelayanan terbaik,cabang bersih",2
Bank Mandiri KCP Jakarta Pluit Kencana,5,pelayanan baik.,2
Bank Mandiri KCP Jakarta Pluit Kencana,5,saya sering transaksi disini.karena sangat ramah ramah sekali.,2
