Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanannya sangat baik pembukaan rekening dibantu oleh security yang ramah,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan baik-baik saja,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan ok,2
Bank Mandiri KCP Jakarta Plumpang,5,sangat puas,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan ok,2
Bank Mandiri KCP Jakarta Plumpang,5,palayanannya sangat bagus,2
Bank Mandiri KCP Jakarta Plumpang,5,cs nya sangat baik dan cepat dalam menangani nasabah,2
Bank Mandiri KCP Jakarta Plumpang,1,"tukang parkir sangat membuat tidak nyaman, memaksa dan mengeluarkan kata ancaman. terutama pada malam hari.",0
Bank Mandiri KCP Jakarta Plumpang,1,kemarin saya tranfer ke bank mandiri tapi satpamnya bentak bentak tolong di tegur itu satpamnya apa gara gara pakaiku jelek,0
Bank Mandiri KCP Jakarta Plumpang,5,pelayan sangat baik,2
Bank Mandiri KCP Jakarta Plumpang,5,cs nya ramah ramah,2
Bank Mandiri KCP Jakarta Plumpang,5,baik dalam pengerjaan dan cepat sekali,2
Bank Mandiri KCP Jakarta Plumpang,5,"pelayanan ok, semua staff baik.. terimakasih bank mandiri",2
Bank Mandiri KCP Jakarta Plumpang,5,"alhamdulillah setelah rempug bareng dihari selasa, 15 april 25 akhirnya kesalahpahaman sudah selesai dan peningkatan pelayanan sangat baik, ramah, cepat dan memuaskan, terimakasih sudah melayani membuat kartu dan buku tabungan dengan baik.",2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Plumpang,1,lemott bnget ampun. terlemot dan lelet sepanjang masa,0
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan mas ari baik banget,2
Bank Mandiri KCP Jakarta Plumpang,5,layanan teller sangat ramah,2
Bank Mandiri KCP Jakarta Plumpang,5,"pelayanan nya baik, terimakasih",2
Bank Mandiri KCP Jakarta Plumpang,5,cs nya ramah,2
Bank Mandiri KCP Jakarta Plumpang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plumpang,5,"pelayanan cepat, enggak pakai lama. goodjob.",2
Bank Mandiri KCP Jakarta Plumpang,5,cepat dan tepat pelayanan tellernyaa,2
Bank Mandiri KCP Jakarta Plumpang,5,"servicenya oke,",2
Bank Mandiri KCP Jakarta Plumpang,5,nice job,2
Bank Mandiri KCP Jakarta Plumpang,5,"karyawannya ramah"" dann cepat",2
Bank Mandiri KCP Jakarta Plumpang,5,karyawan nya sangat ramah dan teller nya baik dan cepat,2
Bank Mandiri KCP Jakarta Plumpang,5,kantor cabang pelayanan dengan baik banyak pengunjung banyak yang datang namun parkiran mohon untuk di perluas dan di perbaiki,2
Bank Mandiri KCP Jakarta Plumpang,5,pekerjaan yang sangat baik,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan di teller sangat tepat dan cepat,2
Bank Mandiri KCP Jakarta Plumpang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plumpang,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Plumpang,5,pelayanan baik,2
Bank Mandiri KCP Jakarta Plumpang,5,"pelayanan di bagian teller sangat ramah, baik, dan cepat",2
Bank Mandiri KCP Jakarta Plumpang,5,baik,2
