Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pondok Bambu,5,terbakknya buat kita semua,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,pelayanan ramah dan cepat,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,mantap pelayanan gercap,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,alhamdulillah semuanya berjalan dengan baik,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,hamdalah ala kulli hal semua nya bagus,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,"pelayanan ramah dari tukang parkir, security, customer service (cs) semua ramah.. ruang tunggu nyaman.. lokasi pinggir jalan raya kalo mau pakai kendaraan umum banyak pilihan..",2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,tempat keren,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,"pelayanan yang bagus, mau buat rekening, di layanin dengan baik",2
Bank Mandiri KCP Jakarta Pondok Bambu,5,layanan yang baik,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,luar biasa ramah,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,ramah,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,mantap,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,pelayanan ramah dan proses cepat,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,good,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Bambu,5,"pelayanan sangat bagus,ruangannya bersih dan wangi,dari security sampai pegawainya ramah2",2
