Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"pelayanannya bagus, tellernya dan cs nya cantik",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"security, dan teller nya ramah"" banget. pelayanan juga oke",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,mantab,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanan terbaik,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,antrinya enggak lama ya nyaman ada di cabang ini,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanannya bagus dan ramah-ramah banget,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanan bagus dan cepat karyawannya ramah ramah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"nyaman saat transaksi, cepat selesaikan masalah, cs cepat dan teller handal.. mantap piot",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"pelayanan baikk, kakak kakak nya juga baik senyum terus keren deh",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pengalaman yang bagus,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,alhamdulillah enggak perlu antri lama lama,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"mulai dari security, dan semua karyawan lainnya semuanya ramah banget. semua prosesnya juga di kawal dengan baik. tempatnya juga cozy banget, sampai betah rasanya. the best lah pokoknya",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"pelayanannya oke,teller dan customer service ramah - ramah pelayanan cepat. terima kasih bank mandiri pondok indah office tower 3",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,nice,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanannya nyaman,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,penaganannya cepat dan enggak pakai ribet. thanks mandiri,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanannya mantap suka banget,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"tempat nyaman , bersih , teller ramah dan cantik"".",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,tempat nyaman bersih dan indah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,bank mandirinya bersi nyaman good .,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanan nya ramah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"gedungnya bagus, tempatnya indah pegawainya dan pelayanannya bagus.. goodjobs lancar jaya",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"pelayan nya ramah, cepat dan responsif",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,tempat nyaman bersih dan indah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,nyaman dan praktis,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,tempat nyaman dan layanannya ramah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanannya ramah banget auto betah memakai mandiri nih wkwk,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,puas banget sama pelayanan teller dan security nya.. ramah dan murah senyum.. tempatnya juga bersih nyaman..,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanannya cepat dan nyaman,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,"pelayanan bagus, tempat nyaman.",2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,pelayanan dari securitynya dan teller nya ramah,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Indah Office 3,1,nyaman dan aman tentram dan dapat terjangkau aksesnya,0
