Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"pelayanan nya terbaik, apalagi security nya sangat membantu, sudah membantu saya membuat kartu atm dari awal sampai selesai",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,pelayanannya bagus,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"semuanya bagus , security ramah ,mba2 juga ramah ,pokoknya bagus deh",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,mantap,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,petatsunya ramah,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,gacor,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,kakak nya baik,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,petatsunya tarah,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,Sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,stabil,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"pelayanan baik, ramah banget dan membantu sekali",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,orangnya baik dan tidak banyak bicara.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,service nya baik dan tempatnya bagus,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,keren,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,pelayanannya baik,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,2,"jam sibuk tapi teller yang buka cuma 1. sistem antriannya juga enggak jelas, saya lihat padahal ada 3 tempat teller. bintang nya saya kasih buat satpam nya yang ramah ke customer dan masih sabar ketika saya complaint. sayang tempatnya bagus tapi sistem antriannya enggak jelas",0
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"okei, kanna saya orgnya jarang kasih review, tapi, ada keamanan yang baik dan melaksanakan sesuai degan sop, seingga tercipta pengalaman pelanggan. .",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,mbak nya ramah,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"sangat memuaskan dalam pelayanannya dan saya sangat bangga dengan bank mandiri,dengan pelayanannya yang ramah dan santun",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,layanan bank mandiri mantap. cs yang tinggi mbak mery.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,2,wah gila sih jam padat begini counter cs nya cuma 1 sudah begitu lamaa banget hadeh,0
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"pelayanannya bagus, setiap kendala yang saya miliki dibantu dan teratasi dengan baik. seluruh staff nya ramah, good service, facility, and performance",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,"kemarin saya ke bank mandiri dan dibantu oleh mbak merry, pelayanan nya sangat ramah dan penjelasan nya mudah di mengerti, untuk semua staff nya juga ramah dan sopan",2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,layanan mantap. saya buka rekening sama cs yang tinggi sangat detail.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,mantap pelayanan,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,cs ramah,2
Bank Mandiri KCP Jakarta Pondok Kelapa Kavling DKI,5,tellernya ramah,2
